,swaps,swaps,volume_quote,volume_quote,arb_share,arb_share,arb_loss,arb_loss,fee_income,fee_income,arb_loss_bps,arb_loss_bps
regime,post,pre,post,pre,post,pre,post,pre,post,pre,post,pre
hour,,,,,,,,,,,,
0,15803,8334,23394914.120240808,8789097.546737233,0.6023539834208694,0.5369570434365251,12802.200573217593,5768.801465719868,11697.457060120403,4394.548773368617,5.472215246193782,6.5635879395392696
1,14359,9368,21219475.281129207,10882595.145578219,0.6242774566473989,0.531596925704526,11171.392827846083,6697.919993643019,10609.737640564605,5441.29757278911,5.264688537223617,6.154708416553102
2,12712,8167,18962149.126256146,7894885.579541486,0.5907803650094399,0.4832863964736133,9594.670401092217,4534.1862240703285,9481.074563128073,3947.4427897707433,5.05990662619927,5.743194348275358
3,9663,5942,12458091.9227074,5948144.46032376,0.6006416226844665,0.5075732076741838,6460.110287902295,2939.876653424622,6229.045961353699,2974.0722301618803,5.1854732875485,4.942510514051307
4,8699,5858,12121800.733509803,6057731.2532318635,0.6077710081618577,0.50375554796859,5679.941202598676,3298.9585349948584,6060.900366754901,3028.865626615932,4.685723950977768,5.445864791764787
5,8001,5924,10637356.692700578,6531430.491278856,0.6150481189851269,0.4937542201215395,5277.6093023816165,3569.7609616228174,5318.678346350288,3265.715245639428,4.9613916829574265,5.4655116767902046
6,10251,6393,13985027.15770079,6880902.5122735165,0.5604331284752707,0.4974190520882215,7010.045546859047,3375.9979414196123,6992.513578850396,3440.4512561367587,5.012536241661138,4.9063301440440705
7,14351,7114,21910269.5645403,7158449.623027819,0.5347362553132186,0.4782119763845938,10982.6497387828,3713.8858161765565,10955.134782270152,3579.224811513909,5.012558018253313,5.188114761930376
8,14201,7923,19584584.116750255,11196424.137787005,0.5645377086120695,0.5038495519373974,10381.759544825367,4705.3670812297705,9792.292058375127,5598.212068893503,5.300985450054097,4.202562374668842
9,11839,6041,15486264.678003252,8879097.36636187,0.5607737139961145,0.5146498924019202,8200.13942136366,3124.507353823747,7743.132339001626,4439.548683180935,5.295104785992176,3.518947056105981
10,10815,7027,13482656.56439312,7579029.865659419,0.5634766527970412,0.4898249608652341,6568.063855530422,4414.208123078945,6741.3282821965595,3789.5149328297093,4.871490884723921,5.824238987472157
11,11121,6735,16918115.298881173,7336419.013002434,0.5532775829511735,0.5208611729769859,8585.318405638665,4107.713645224855,8459.057649440585,3668.209506501217,5.07463050934901,5.599071751415369
12,12143,7814,19716990.21930219,10274833.370488266,0.590298937659557,0.530586127463527,10483.546474696335,6108.35906087459,9858.495109651094,5137.416685244132,5.317011550998965,5.944971407924951
13,16576,12333,27516837.916068014,17382181.528860062,0.6105815637065637,0.5374199302683856,14756.486321543853,12565.31464662104,13758.418958034006,8691.090764430031,5.362711502882037,7.228847901374484
14,16774,13199,27648784.402759098,17721115.737076152,0.5997376892810302,0.5469353738919616,14468.675092199916,11880.818855900805,13824.392201379547,8860.557868538075,5.2330239483353465,6.704328910308809
15,14618,11585,21911486.709178105,15540644.419505792,0.6176631550143659,0.5464825205006474,11396.613123728834,9753.592069851038,10955.74335458905,7770.322209752896,5.201204863454159,6.276182509914999
16,13913,10295,21638101.297307443,12036934.006525988,0.6144612951915475,0.5050024283632831,10236.535780274953,6702.70694558278,10819.050648653723,6018.467003262994,4.730792059628977,5.56845035616945
17,15623,11619,26166755.88441152,16448103.315546373,0.5493183127440312,0.5206127893966779,12836.74043521647,11498.175194464477,13083.37794220576,8224.051657773187,4.9057439492771735,6.9905781681202495
18,14305,9329,22164400.817726545,10921073.6625001,0.587626703949668,0.5272805231000107,10845.518902566977,6809.592550689678,11082.200408863271,5460.53683125005,4.893215472756203,6.23527755707015
19,13170,7907,17123840.7405997,9600660.201176066,0.5760820045558086,0.5315543189578854,8713.134293155585,5809.469026728034,8561.920370299851,4800.330100588032,5.088306078727546,6.051114095274805
20,12140,7984,16435972.100147406,12056747.316176493,0.557331136738056,0.5129008016032064,9220.210429854276,8258.328640762187,8217.986050073703,6028.373658088246,5.609774933708719,6.849549405155086
21,11012,7084,14661742.568759993,9087705.70942745,0.6076098801307664,0.5395256916996047,8021.312781187941,6232.263651812787,7330.871284379997,4543.852854713726,5.47091366771033,6.857906550987375
22,11860,6925,15714467.997578792,7397554.8897526935,0.5690556492411467,0.5140794223826715,8385.24460816137,4282.027283889071,7857.2339987893965,3698.777444876347,5.336002853837195,5.788435973379068
23,12140,5852,17948031.673585474,5496891.998007972,0.564662273476112,0.497095010252905,8568.783380294946,3205.651689470604,8974.015836792738,2748.445999003986,4.774218998568974,5.831753089986679
