,pre,post
hours,720.0,720.0
n_blocks,863799.0,1727278.0
n_headers,863799.0,1727278.0
block_interval_ms,3000.6969221970876,1500.6290243956098
n_intervals,863798.0,1727278.0
swaps,196752.0,306089.0
swaps_per_block,0.22777521159436398,0.17720888009920813
share_blocks_with_swap,0.16122037649962548,0.1288119225741311
volume_quote_per_hour,332081.9751803046,623344.4875119637
arb_swaps_share,0.5184547043994471,0.5844378595767897
arb_strict_share,0.20126351955761568,0.24798016263243697
arb_volume_share,0.8186309783952478,0.7929654764361357
arb_swaps_per_hour,141.6766075256289,248.45828540542337
median_arb_size_quote,1518.2740783922186,1403.3356212599438
fee_bps_of_volume,4.999999999999999,5.0
arb_loss_bps_of_volume,5.995746170984563,5.1390938286144
lp_net_bps_of_volume,-0.995746170984564,-0.13909382861440028
arb_loss_over_fee,1.1991492341969128,1.02781876572288
arb_loss_per_hour_quote,199.1079231140302,320.34258088735385
arb_loss_per_arb_quote,2.186803586234486,1.8335584859980074
mean_abs_dev_bps,3.6541281920231774,3.305589772417422
share_sec_outside_band,0.2710355806009295,0.2117240695508991
dev_half_life_s,8.692964831535448,9.303816982850414
outside_band_episode_mean_s,7.095549764660728,4.91821334791142
cex_vol_1s_bps,1.3336856807886162,1.2329507882331847
cex_vol_1m_per_s_bps,1.4618428735080249,1.3672704067108181
arb_loss_rate_over_sigma2,9317237210.856104,17135857509.88882
arb_loss_rate_over_sigma3,63736242654432.97,125328957796371.78
markout_30s_bps_of_volume,-0.996664013709464,-0.38789075776137766
IS_window_hours,336.0,336.0
IS_dex_upper,7.562390478818897e-05,0.0008043955448039863
IS_dex_lower,4.435117719833755e-08,0.0003964840884393445
alpha_dex,-0.04364643381739488,-0.03243829821201716
alpha_cex,0.00038549707820105354,-0.001425198314112041
