,pre,post
hours,720.0,720.0
n_blocks,863799.0,1727278.0
n_headers,863799.0,1727278.0
block_interval_ms,3000.6969221970876,1500.6290243956098
n_intervals,863798.0,1727278.0
swaps,106701.0,597542.0
swaps_per_block,0.12352526455807428,0.3459443123805201
share_blocks_with_swap,0.10289893829467271,0.188171794001892
volume_quote_per_hour,405600.9319722387,968796.0784473746
arb_swaps_share,0.2400727265911285,0.1509734880560697
arb_strict_share,0.000262415534999672,6.526737869471937e-05
arb_volume_share,0.39636373677583503,0.19371705125095168
arb_swaps_per_hour,35.577832681840555,125.29580916361706
median_arb_size_quote,100.76991375588236,489.5940863607325
fee_bps_of_volume,1.0,1.0
arb_loss_bps_of_volume,0.5465975315720353,0.1537726595014714
lp_net_bps_of_volume,0.4534024684279647,0.8462273404985287
arb_loss_over_fee,0.5465975315720353,0.1537726595014714
arb_loss_per_hour_quote,22.170046821934267,14.897434949744891
arb_loss_per_arb_quote,0.7959324997159537,0.2151271306248288
mean_abs_dev_bps,0.7912616965098959,0.6918765044961597
share_sec_outside_band,0.31624089252836224,0.28214572448081615
dev_half_life_s,2.7804614118600375,2.0260378079078345
outside_band_episode_mean_s,3.35252469476655,2.922202154524822
cex_vol_1s_bps,0.6169088744313895,0.6337997430543832
cex_vol_1m_per_s_bps,0.08902833044629205,0.08967614173039044
arb_loss_rate_over_sigma2,279711390437.54736,185249766119.88974
arb_loss_rate_over_sigma3,3.1418245072706196e+16,2.0657642327748612e+16
markout_30s_bps_of_volume,0.4619514290857579,0.8513120785563268
IS_window_hours,336.0,336.0
IS_dex_upper,0.9310682453871402,0.9696730176513538
IS_dex_lower,0.9308837438429414,0.9692500942371975
alpha_dex,-6.750288019137801e-05,-4.776262667322327e-05
alpha_cex,0.035633964548857415,0.046915887806985614
