,pre,post
hours,720.0,720.0
n_blocks,863799.0,1727278.0
n_headers,863799.0,1727278.0
block_interval_ms,3000.6969221970876,1500.6290243956098
n_intervals,863798.0,1727278.0
swaps,1613879.0,4943404.0
swaps_per_block,1.8683501601645753,2.861962000326525
share_blocks_with_swap,0.7212569127771623,0.7703050695950507
volume_quote_per_hour,2537087.4278458687,8130123.575930453
arb_swaps_share,0.3088267459952078,0.2483899758142365
arb_strict_share,0.05800063077839169,0.0424606202527651
arb_volume_share,0.6532074652840697,0.4626976751811124
arb_swaps_per_hour,692.235790487331,1705.405226580782
median_arb_size_quote,707.5202387695313,1012.2083220262859
fee_bps_of_volume,1.0000000000000002,1.0
arb_loss_bps_of_volume,1.0732882105025154,0.4507646042977228
lp_net_bps_of_volume,-0.07328821050251552,0.5492353957022772
arb_loss_over_fee,1.0732882105025154,0.45076460429772286
arb_loss_per_hour_quote,272.30260253211225,366.4771936595878
arb_loss_per_arb_quote,1.3846587433960382,0.6397686243255696
mean_abs_dev_bps,1.365968267397508,1.165982363187555
share_sec_outside_band,0.553912636540369,0.48225290036539337
dev_half_life_s,5.06413114072227,4.611822491479072
outside_band_episode_mean_s,9.764222223733517,6.910238762569724
cex_vol_1s_bps,0.6573999022625031,0.5739491210884783
cex_vol_1m_per_s_bps,0.7762664770208306,0.6980856933602065
arb_loss_rate_over_sigma2,45188729268.55288,75202015074.31168
arb_loss_rate_over_sigma3,582129083326887.8,1077260510988699.8
markout_30s_bps_of_volume,-0.19823996891036352,0.4235437924811976
IS_window_hours,336.0,336.0
IS_dex_upper,0.00021036062287866684,0.0010131595006843761
IS_dex_lower,9.994196881482605e-05,5.347337348011447e-06
alpha_dex,-0.056083112362415324,-0.05980001331481034
alpha_cex,0.0008218674769788955,0.00015788478549450067
