窗口,控制,log 越界幅度（严格）,_b_over,_se_over,log 套利者利润,_b_prof,_se_prof,log 单笔 LP 损失,log LP 损失（总）,_b_loss,_se_loss,log 套利笔数,n
±30 d,σ,-0.610*** (0.026),-0.6097699540947388,0.026037308837089386,+0.133*** (0.031),0.13332022390777742,0.030642695596603608,-0.218*** (0.029),+0.332*** (0.029),0.3323878213811104,0.02945011238225538,+0.505*** (0.037),4322
±30 d,σ+L+vol,-0.502*** (0.035),-0.5024144807315029,0.035075926622386025,-0.413*** (0.038),-0.4128760034941207,0.03842705803206864,-0.360*** (0.032),-0.030** (0.015),-0.030254957868782753,0.014745549015185067,+0.142*** (0.030),4322
±30 d,σ+L+vol+趋势,-0.324*** (0.045),-0.32445742076246986,0.04548708204184664,-0.361*** (0.066),-0.361351365664289,0.06555610851593788,-0.201*** (0.051),-0.087*** (0.021),-0.08661867497064503,0.020977146692391466,+0.037 (0.044),4322
±30 d,σ+L+vol+池别趋势,-0.336*** (0.048),-0.3364400187605009,0.047784686341695554,-0.411*** (0.067),-0.41122843018140826,0.06668185195839423,-0.220*** (0.053),-0.094*** (0.021),-0.09366275949315545,0.021287824179609283,+0.026 (0.042),4322
±14 d,σ,-0.490*** (0.038),-0.48971991862344416,0.03781562101345829,+0.062 (0.048),0.062070574097023046,0.04798472460795829,-0.186*** (0.042),+0.197*** (0.033),0.19735330961384562,0.03300692642656605,+0.405*** (0.054),2015
±14 d,σ+L+vol,-0.391*** (0.040),-0.390943329588371,0.0398694026393309,-0.391*** (0.059),-0.39108524950437556,0.058828338265332465,-0.300*** (0.043),-0.058*** (0.021),-0.058165238769002287,0.021410041369734137,+0.111*** (0.028),2015
±14 d,σ+L+vol+趋势,-0.205*** (0.057),-0.2050557193921828,0.05713187560644981,-0.261*** (0.094),-0.2608528185155804,0.09388551599567821,-0.025 (0.061),-0.110*** (0.023),-0.10988719240402746,0.023080503886509837,-0.114*** (0.034),2015
±14 d,σ+L+vol+池别趋势,-0.204*** (0.057),-0.20383995534779706,0.05664445448443413,-0.259*** (0.095),-0.2586160570418047,0.09539486869439309,-0.024 (0.061),-0.110*** (0.021),-0.10950739656520053,0.02064994465524065,-0.114*** (0.033),2015
±7 d,σ,-0.345*** (0.049),-0.34537225967806634,0.04860974078029444,-0.032 (0.083),-0.03236022383344982,0.08290252900315126,-0.019 (0.042),+0.142*** (0.039),0.14193068139389425,0.038570819333175285,+0.127** (0.050),1007
±7 d,σ+L+vol,-0.272*** (0.052),-0.27165191001192474,0.05223593861294222,-0.325*** (0.066),-0.32475683314624776,0.06596300076996542,-0.150*** (0.055),-0.099*** (0.019),-0.099066379906017,0.01901324489300714,-0.027 (0.027),1007
±7 d,σ+L+vol+趋势,-0.125* (0.070),-0.12492717221203802,0.06983240243521759,-0.146 (0.105),-0.1464366650445561,0.10508628426608833,-0.041 (0.091),-0.059** (0.028),-0.05856896954191301,0.02819734578759667,-0.040 (0.050),1007
±7 d,σ+L+vol+池别趋势,-0.137* (0.071),-0.1369173900208033,0.07069001018180376,-0.190* (0.111),-0.18991935724463607,0.11092056017844855,-0.053 (0.092),-0.069** (0.028),-0.06910257145560368,0.028415713458512307,-0.058 (0.050),1007
