窗口,控制,log 越界幅度（严格）,_b_over,_se_over,log 套利者利润,_b_prof,_se_prof,log 单笔 LP 损失,log LP 损失（总）,_b_loss,_se_loss,log 套利笔数,n
±30 d,σ,-0.585*** (0.026),-0.5846555662020778,0.025591699948638528,+0.236*** (0.031),0.23591307702972705,0.030556156049301404,-0.208*** (0.029),+0.353*** (0.030),0.35302456544929833,0.029626086640737785,+0.526*** (0.037),4322
±30 d,σ+L+vol,-0.472*** (0.034),-0.4723991804662159,0.03409577624776536,-0.306*** (0.038),-0.3059600059340101,0.038373380705785776,-0.351*** (0.032),-0.011 (0.015),-0.010778027900728508,0.014899335394586278,+0.163*** (0.030),4322
±30 d,σ+L+vol+趋势,-0.291*** (0.041),-0.2910846341931638,0.04114377421603932,-0.244*** (0.062),-0.2438465979697851,0.06214751198190376,-0.188*** (0.051),-0.066*** (0.021),-0.06606055803909806,0.02081384279014151,+0.054 (0.044),4322
±30 d,σ+L+vol+池别趋势,-0.304*** (0.044),-0.3037433722383803,0.04361871200426935,-0.295*** (0.063),-0.29465143723068443,0.06313801100466893,-0.206*** (0.052),-0.073*** (0.021),-0.07292762181297363,0.021128381407579597,+0.045 (0.041),4322
±14 d,σ,-0.460*** (0.035),-0.46030801400142857,0.03548825324073332,+0.172*** (0.047),0.17185167391385975,0.047004194274656096,-0.174*** (0.042),+0.218*** (0.033),0.21781720532810012,0.03345212017385117,+0.423*** (0.054),2015
±14 d,σ+L+vol,-0.357*** (0.036),-0.3567547513572184,0.03635108641176331,-0.278*** (0.057),-0.2781538704819649,0.05736067538314189,-0.288*** (0.043),-0.038* (0.021),-0.038453517683754906,0.02146254879251946,+0.130*** (0.029),2015
±14 d,σ+L+vol+趋势,-0.185*** (0.047),-0.18535743333619678,0.046719887010492574,-0.173** (0.085),-0.17283270808515722,0.08476600549586603,-0.015 (0.059),-0.093*** (0.023),-0.09251865351533711,0.02284552831339628,-0.098*** (0.034),2015
±14 d,σ+L+vol+池别趋势,-0.184*** (0.046),-0.18382174622418576,0.04604244768581696,-0.170** (0.086),-0.16983431936238808,0.08627415767959253,-0.014 (0.060),-0.092*** (0.021),-0.09204985614772593,0.020500499715837506,-0.097*** (0.033),2015
±7 d,σ,-0.319*** (0.041),-0.31851506642691235,0.04130093109026128,+0.077 (0.079),0.07696116964817429,0.07851683623207478,-0.007 (0.041),+0.163*** (0.039),0.1630284428370739,0.03935020148139967,+0.145*** (0.050),1007
±7 d,σ+L+vol,-0.247*** (0.043),-0.24724615000120745,0.04280437197734958,-0.218*** (0.062),-0.21787071557417675,0.062242094214473964,-0.139** (0.054),-0.080*** (0.018),-0.07956723000805463,0.01844222821475386,-0.006 (0.028),1007
±7 d,σ+L+vol+趋势,-0.118** (0.059),-0.1178926891780982,0.058729190638164716,-0.072 (0.093),-0.07225513764292178,0.09265067266481385,-0.034 (0.089),-0.045 (0.028),-0.04492268881210504,0.02761773118787303,-0.028 (0.050),1007
±7 d,σ+L+vol+池别趋势,-0.131** (0.060),-0.13096036124634508,0.06012616710681263,-0.117 (0.100),-0.11691571914639672,0.09957933882676577,-0.045 (0.090),-0.056** (0.028),-0.05587847457255539,0.028005399433249405,-0.045 (0.049),1007
