,swaps,swaps,volume_quote,volume_quote,arb_share,arb_share,arb_loss,arb_loss,fee_income,fee_income,arb_loss_bps,arb_loss_bps
regime,post,pre,post,pre,post,pre,post,pre,post,pre,post,pre
hour,,,,,,,,,,,,
0,6349,5197,29954055.226547472,31306993.743932743,0.6853047724051031,0.6596113142197422,16126.254211800564,17418.806060139435,14977.027613273734,15653.496871966368,5.383663109997974,5.563870553209913
1,6518,5656,32992646.08233679,35804088.53440314,0.6896287204664008,0.6677864214992928,17917.725204127102,20679.20518877947,16496.323041168394,17902.044267201567,5.430823935555651,5.775654690639424
2,5167,4153,24355963.590986323,23823983.525882687,0.6597638862008902,0.6775824705032507,13090.377523555706,13259.800523957236,12177.98179549316,11911.991762941345,5.374608758406999,5.56573610351586
3,4207,3278,18596219.386365477,17956299.725588378,0.5954361777989066,0.6479560707748627,9651.695940418434,9132.89601087291,9298.109693182738,8978.14986279419,5.19013878030227,5.08617930778812
4,3782,3632,17258285.840441957,20422637.687692948,0.579323109465891,0.6307819383259912,9399.1628166097,11050.959840857573,8629.142920220977,10211.318843846475,5.446174031133675,5.4111324941719365
5,3396,3126,15307500.485953141,16721422.12141043,0.5915783274440518,0.6500319897632757,7806.598032147956,8705.21959917948,7653.750242976571,8360.711060705216,5.09985156578087,5.206028252844086
6,3899,3491,17321415.739306524,19994789.438409604,0.5857912285201333,0.6230306502434833,8381.188624184255,8927.894519034,8660.707869653263,9997.394719204804,4.838627944923284,4.4651105461924425
7,5087,3883,24607325.895187095,23235371.630530123,0.6015333202280322,0.6543909348441926,12857.023113716896,11228.78120789276,12303.662947593548,11617.68581526506,5.224876188692888,4.83262389190225
8,4621,4272,19635695.990427088,24268993.089392923,0.5884007790521533,0.6306179775280899,10517.265165614463,11725.809858239467,9817.847995213544,12134.496544696462,5.356196780975781,4.83160130090621
9,4110,3266,17568444.162805803,16179208.466172066,0.5705596107055961,0.6132884262094305,8659.025167014172,7683.3270929464525,8784.222081402902,8089.604233086035,4.928737620002923,4.748889359458445
10,4135,3823,16074432.829023356,20960540.33486569,0.5264812575574365,0.6340570232801465,7689.472132957501,11933.739500506648,8037.216414511679,10480.270167432845,4.783666219982392,5.693431233094744
11,4003,4265,17585458.920566168,26359807.463460103,0.5713215088683488,0.6611957796014069,9498.673341043841,13989.55354430159,8792.729460283084,13179.90373173005,5.401436143321319,5.307153158722374
12,5424,5106,30684073.852495454,32219256.303667862,0.5966076696165191,0.6627497062279671,13928.851130480565,18320.321702038847,15342.036926247727,16109.628151833931,4.539439970533042,5.686140464996782
13,8247,8611,70271474.41330157,65380037.451026246,0.710925184915727,0.6585762396934154,25533.65294976589,40330.341941251056,35135.73720665078,32690.018725513117,3.6335729629906077,6.168601841420023
14,8380,9954,51036167.02112568,76299756.87791483,0.7039379474940334,0.635623869801085,28610.942476760625,47671.016967983385,25518.083510562843,38149.878438957414,5.606013175894957,6.247859615628983
15,7086,7850,41800798.035274185,56061702.62776891,0.6820491109229466,0.653375796178344,21580.392205815002,31861.51443505331,20900.399017637093,28030.851313884457,5.162674690469806,5.6832941101705705
16,6654,6886,32410327.121473603,43034023.22545461,0.6675683799218515,0.629538193435957,17023.661622442898,22644.593439354732,16205.1635607368,21517.011612727303,5.25254236362329,5.262021010845312
17,6182,7721,35105958.50838063,64335898.56910392,0.6598188288579747,0.6354099209946898,18847.255412542792,38892.65224542316,17552.979254190315,32167.94928455196,5.3686770603467515,6.045248937286253
18,5947,6487,32952348.057851925,51223016.41256823,0.6884143265512023,0.6779713272699245,18821.039336434533,24400.822032500328,16476.174028925965,25611.508206284117,5.711592783431357,4.763644107947003
19,5265,5371,25542594.833161287,39380415.60859268,0.6632478632478632,0.6907466021225098,14250.293910962086,19687.707544236026,12771.297416580644,19690.20780429634,5.57903141949435,4.999365100641607
20,4636,4920,21551641.025118694,34790278.588895656,0.6300690250215704,0.6465447154471544,11962.19908940265,21244.661209782036,10775.820512559349,17395.13929444783,5.550481782552226,6.106493558393895
21,5311,4609,27032961.978073105,29564308.424301893,0.6622105064959518,0.6712952918203515,14607.077394569724,19812.763411689746,13516.480989036554,14782.154212150948,5.403432079110596,6.701581896434159
22,5565,4496,26675088.854950987,28180976.807319097,0.6296495956873316,0.662144128113879,14838.468669077098,15366.423998212735,13337.544427475494,14090.488403659549,5.562668881728215,5.452764857399053
23,5901,3933,29900960.77525666,23756314.757986292,0.6131164209456025,0.6420035596236969,15509.095495514452,11581.657760010305,14950.480387628331,11878.157378993144,5.186821792144011,4.875191239885738
