,pre,post
hours,720.0,720.0
n_blocks,863799.0,1727278.0
n_headers,863799.0,1727278.0
block_interval_ms,3000.6969221970876,1500.6290243956098
n_intervals,863798.0,1727278.0
swaps,31818.0,39659.0
swaps_per_block,0.03683495813262113,0.02296040359455745
share_blocks_with_swap,0.03210121799168557,0.020672989524558292
volume_quote_per_hour,105.65028904521051,120.54892105869052
arb_swaps_share,0.6416493808536049,0.6069744572480396
arb_strict_share,0.0789175938148218,0.07738470460677274
arb_volume_share,0.8226108058060696,0.8117827472563629
arb_swaps_per_hour,28.35559931419647,33.43332688400331
median_arb_size_quote,2.2250619304361794,2.091219180489449
fee_bps_of_volume,25.000000000000004,25.000000000000004
arb_loss_bps_of_volume,27.327856792402155,25.931906245824543
lp_net_bps_of_volume,-2.3278567924021534,-0.9319062458245367
arb_loss_over_fee,1.0931142716960862,1.0372762498329815
arb_loss_per_hour_quote,0.2887195969103407,0.31260633189292664
arb_loss_per_arb_quote,0.010244835124336688,0.009438748024261612
mean_abs_dev_bps,15.031445403199006,14.79062021616927
share_sec_outside_band,0.15912481083946764,0.14165851016261183
dev_half_life_s,118.123604378532,140.43014522985587
outside_band_episode_mean_s,14.34605350123491,13.025612827698748
cex_vol_1s_bps,1.7870786903234597,1.6201449348550765
cex_vol_1m_per_s_bps,1.4057316193911218,1.238796434136623
arb_loss_rate_over_sigma2,14610713.859838614,20370321.214278392
arb_loss_rate_over_sigma3,103936723470.495,164436388844.4307
markout_30s_bps_of_volume,-2.4136046302478484,-0.6865742433179799
ref_kline_vs_tick_mean_abs_bps,0.0013144955438834558,0.4328019044949222
ref_kline_vs_tick_rms_bps,0.09250439539340982,1.7264822517471656
IS_window_hours,336.0,336.0
IS_dex_upper,0.030112934545994417,0.03271827547868707
IS_dex_lower,0.02002417621575612,0.03178403600243638
alpha_dex,-0.0018546269810150859,-0.0014331949709166206
alpha_cex,0.001131550911259122,0.001131661599806269
