,pre,post
hours,720.0,720.0
n_blocks,863799.0,1727278.0
n_headers,863799.0,1727278.0
block_interval_ms,3000.6969221970876,1500.6290243956098
n_intervals,863798.0,1727278.0
swaps,196752.0,306089.0
swaps_per_block,0.22777521159436398,0.17720888009920813
share_blocks_with_swap,0.16122037649962548,0.1288119225741311
volume_quote_per_hour,332081.98025142134,623339.3561674624
arb_swaps_share,0.518459786939904,0.585274217629513
arb_strict_share,0.20116695128893225,0.21199063017619058
arb_volume_share,0.8186253456489795,0.7931541852929748
arb_swaps_per_hour,141.67799641666113,248.81384089239182
median_arb_size_quote,1518.2241002742626,1403.4856726728813
fee_bps_of_volume,4.999999999999999,5.0
arb_loss_bps_of_volume,5.996073410278865,5.2716102794781134
lp_net_bps_of_volume,-0.996073410278865,-0.27161027947811456
arb_loss_over_fee,1.1992146820557732,1.0543220558956228
arb_loss_per_hour_quote,199.11879318182986,328.60021575756645
arb_loss_per_arb_quote,2.186770972461379,1.868016606691549
mean_abs_dev_bps,3.6541281920231774,3.305589772417422
share_sec_outside_band,0.2710355806009295,0.2117240695508991
dev_half_life_s,8.692964831535448,9.303816982850414
outside_band_episode_mean_s,7.095549764660728,4.91821334791142
cex_vol_1s_bps,1.3336856807886162,1.2329507882331847
cex_vol_1m_per_s_bps,1.4618428735080249,1.3672704067108181
arb_loss_rate_over_sigma2,9317745874.6933,17577577290.3585
arb_loss_rate_over_sigma3,63739722261211.61,128559626567535.38
markout_30s_bps_of_volume,-1.029754567215819,-0.39299093090091497
ref_kline_vs_tick_mean_abs_bps,0.004312170361992189,0.4254955469078007
ref_kline_vs_tick_rms_bps,0.1021211252234344,1.3260263208009397
IS_window_hours,336.0,336.0
IS_dex_upper,7.562390478818897e-05,0.0008043955448039863
IS_dex_lower,4.435117719833755e-08,0.0003964840884393445
alpha_dex,-0.04364643381739488,-0.03243829821201716
alpha_cex,0.00038549707820105354,-0.001425198314112041
