,pre,post
hours,720.0,720.0
n_blocks,863799.0,1727278.0
n_headers,863799.0,1727278.0
block_interval_ms,3000.6969221970876,1500.6290243956098
n_intervals,863798.0,1727278.0
swaps,106701.0,597542.0
swaps_per_block,0.12352526455807428,0.3459443123805201
share_blocks_with_swap,0.10289893829467271,0.188171794001892
volume_quote_per_hour,405600.91537122126,968795.9182667468
arb_swaps_share,0.24011021452469986,0.1509985908940292
arb_strict_share,0.00028115950178536284,5.355272098028256e-05
arb_volume_share,0.3966438134417548,0.19508337781518695
arb_swaps_per_hour,35.583388245969516,125.31664249293162
median_arb_size_quote,100.76991375588236,483.89503422284463
fee_bps_of_volume,1.0,1.0
arb_loss_bps_of_volume,0.5469724518838335,0.1550860388928008
lp_net_bps_of_volume,0.4530275481161665,0.8449139611071992
arb_loss_over_fee,0.5469724518838335,0.1550860388928008
arb_loss_per_hour_quote,22.185252716692414,15.024672145950333
arb_loss_per_arb_quote,0.7961712302644294,0.21745540676352262
mean_abs_dev_bps,0.7912616965098959,0.6918765044961597
share_sec_outside_band,0.31624089252836224,0.28214572448081615
dev_half_life_s,2.7804614118600375,2.0260378079078345
outside_band_episode_mean_s,3.35252469476655,2.922202154524822
cex_vol_1s_bps,0.6169088744313895,0.6337997430543832
cex_vol_1m_per_s_bps,0.08902833044629205,0.08967614173039044
arb_loss_rate_over_sigma2,279903237662.76117,186831962042.76654
arb_loss_rate_over_sigma3,3.143979408123551e+16,2.0834076760848292e+16
markout_30s_bps_of_volume,0.4492090757886427,0.8447444732597585
ref_kline_vs_tick_mean_abs_bps,0.0014337018684877285,0.16417325107356462
ref_kline_vs_tick_rms_bps,0.03786146449860191,0.4052561423999428
IS_window_hours,336.0,336.0
IS_dex_upper,0.9310682453871402,0.9696730176513538
IS_dex_lower,0.9308837438429414,0.9692500942371975
alpha_dex,-6.750288019137801e-05,-4.776262667322327e-05
alpha_cex,0.035633964548857415,0.046915887806985614
