,pre,post
hours,720.0,720.0
n_blocks,863799.0,1727278.0
n_headers,863799.0,1727278.0
block_interval_ms,3000.6969221970876,1500.6290243956098
n_intervals,863798.0,1727278.0
swaps,1819.0,1430.0
swaps_per_block,0.002105813968295865,0.0008278922095922023
share_blocks_with_swap,0.001987730942036284,0.0007838923439075818
volume_quote_per_hour,75.14233707242342,34.337865236697475
arb_swaps_share,0.6107751511819681,0.6797202797202797
arb_strict_share,0.14183617372182517,0.17762237762237762
arb_volume_share,0.5352168076643673,0.6464253151349653
arb_swaps_per_hour,1.5430579368178037,1.3499997395833836
median_arb_size_quote,9.61000052285385,11.488889030660463
fee_bps_of_volume,100.0,99.99999999999997
arb_loss_bps_of_volume,45.78537986990919,73.47278221653636
lp_net_bps_of_volume,54.214620130090786,26.527217783463637
arb_loss_over_fee,0.4578537986990919,0.7347278221653637
arb_loss_per_hour_quote,0.3440420447173666,0.2522898494316648
arb_loss_per_arb_quote,0.729850067544983,0.18080921932503294
mean_abs_dev_bps,46.94350756521022,46.27560881797323
share_sec_outside_band,0.023894791416787253,0.02092437464337398
dev_half_life_s,1356.255821998448,9568.07657177643
outside_band_episode_mean_s,33.61894393032117,29.47608695652174
cex_vol_1s_bps,0.6579122218239278,0.5739491210884783
cex_vol_1m_per_s_bps,0.7829817869445594,0.6980856933602065
arb_loss_rate_over_sigma2,56118777.29490323,51770493.19385258
arb_loss_rate_over_sigma3,716731579592.6276,741606563295.3666
markout_30s_bps_of_volume,54.66006177894676,26.324923546794345
ref_kline_vs_tick_mean_abs_bps,0.0047941000077353834,0.1691993365496392
ref_kline_vs_tick_rms_bps,0.1112804616596993,0.6227835118854113
IS_window_hours,336.0,336.0
IS_dex_upper,0.05070176303933979,0.0023572028806227475
IS_dex_lower,0.05000680702563972,0.001153693954431833
alpha_dex,-0.00011945874402630853,-9.162789064608092e-05
alpha_cex,1.718501539438599e-05,-1.0678459817735718e-05
