窗口,控制,log 越界幅度（严格）,log 套利者利润,log 单笔 LP 损失,log LP 损失（总）,log 套利笔数,n
±30 d,σ,-0.200*** (0.021),-0.606*** (0.072),-0.030 (0.027),-0.112*** (0.035),-0.168*** (0.035),4309
±30 d,σ+L+vol,-0.236*** (0.018),-0.524*** (0.058),+0.022 (0.023),-0.013 (0.010),-0.133*** (0.028),4309
±30 d,σ+L+vol+趋势,-0.239*** (0.039),-0.079 (0.112),-0.108** (0.052),-0.017 (0.026),+0.138*** (0.044),4309
±30 d,σ+L+vol+池别趋势,-0.255*** (0.036),-0.150 (0.103),-0.139*** (0.047),-0.026 (0.025),+0.135*** (0.045),4309
±14 d,σ,-0.242*** (0.032),-0.156* (0.094),+0.019 (0.051),+0.037 (0.055),+0.021 (0.037),2009
±14 d,σ+L+vol,-0.226*** (0.029),-0.206*** (0.076),-0.018 (0.043),-0.018 (0.020),+0.013 (0.034),2009
±14 d,σ+L+vol+趋势,-0.350*** (0.048),-0.496*** (0.139),-0.277*** (0.066),-0.038 (0.035),+0.140** (0.063),2009
±14 d,σ+L+vol+池别趋势,-0.349*** (0.048),-0.532*** (0.136),-0.284*** (0.066),-0.044 (0.034),+0.132** (0.067),2009
±7 d,σ,-0.313*** (0.036),-0.240* (0.124),-0.076 (0.060),+0.085** (0.043),+0.090** (0.045),1001
±7 d,σ+L+vol,-0.302*** (0.036),-0.371*** (0.100),-0.159*** (0.044),-0.032 (0.024),+0.062 (0.049),1001
±7 d,σ+L+vol+趋势,-0.273*** (0.060),-0.557*** (0.157),-0.279*** (0.069),-0.080*** (0.023),+0.195** (0.083),1001
±7 d,σ+L+vol+池别趋势,-0.275*** (0.062),-0.554*** (0.157),-0.285*** (0.070),-0.082*** (0.024),+0.195** (0.083),1001
