,swaps,swaps,volume_quote,volume_quote,arb_share,arb_share,arb_loss,arb_loss,fee_income,fee_income,arb_loss_bps,arb_loss_bps
regime,post,pre,post,pre,post,pre,post,pre,post,pre,post,pre
hour,,,,,,,,,,,,
0,4937,6021,19639068.195504047,29116294.94079482,0.4506785497265546,0.6464042517854177,6266.681567905029,13964.050120210479,9819.534097752025,14558.147470397413,3.190926120079187,4.7959570915891
1,5991,4621,35792553.24390496,18882138.523739282,0.48923385077616427,0.6243237394503355,6763.906414465261,9310.930855691167,17896.27662195248,9441.069261869641,1.8897524209500398,4.931078566119585
2,5127,4053,21874106.281631783,17395809.870375685,0.4759118392822313,0.6217616580310881,6737.04949544773,7898.596934732438,10937.053140815893,8697.904935187842,3.0799198873350053,4.540516936888008
3,4520,3614,15143760.340217888,13136445.228330623,0.45287610619469026,0.5688987271721084,6042.603573228603,5678.853465451665,7571.880170108943,6568.222614165312,3.9901605925319745,4.322975787395212
4,3811,2614,11640533.8964073,8499826.991869705,0.4004198373130412,0.5374904361132364,4245.935493998379,3853.277084748951,5820.266948203651,4249.913495934853,3.647543602195799,4.5333594300621725
5,4405,2770,12652025.592310138,10793181.688393023,0.39863791146424515,0.5353790613718411,5286.891658735911,4024.981263007092,6326.01279615507,5396.590844196513,4.178691878357618,3.7291888334795225
6,4050,3170,11687510.598562121,16117348.817267098,0.3585185185185185,0.5261829652996846,4053.1117302519074,4472.852303098386,5843.755299281061,8058.674408633548,3.4678999399158186,2.7751786933508926
7,4944,3333,14568106.75215463,12236170.487949323,0.3948220064724919,0.5370537053705371,5679.954443985307,5109.355986976973,7284.053376077314,6118.085243974661,3.8988967754133457,4.175616866411655
8,4480,3686,12734690.780083865,13504039.197000165,0.3736607142857143,0.5344546934346175,4864.134667792226,5684.5409410152115,6367.345390041933,6752.019598500083,3.819593857276362,4.209511582488591
9,4212,3520,12289207.555814477,13033087.06059588,0.335707502374169,0.5022727272727273,4426.966434633842,5704.249465698474,6144.603777907238,6516.54353029794,3.6023205031957337,4.376744695387367
10,4088,3800,11667039.507429423,12130408.253222307,0.2893835616438356,0.48526315789473684,3729.1959497678668,5426.36927477979,5833.519753714711,6065.204126611154,3.196351522931899,4.473360798337794
11,3766,3516,10660066.81804009,12081598.47197427,0.3428040361125863,0.5014220705346986,3647.722054808641,4595.867990964181,5330.033409020046,6040.799235987136,3.4218566516258426,3.8040231196436745
12,5211,4161,18093892.39541543,14803590.598718282,0.40932642487046633,0.5265561163181928,6716.949164954349,6862.218859685123,9046.946197707715,7401.7952993591425,3.7122742957486956,4.635509752802313
13,8478,7524,32455805.099513013,35359813.157739095,0.5152158527954707,0.6358320042530569,13391.4935273663,16899.38944377124,16227.902549756505,17679.906578869544,4.126070355151114,4.779264349724801
14,10301,9015,42472224.36987906,46599824.80995987,0.5299485486845937,0.6428175263449806,17670.0256347156,20703.006353668166,21236.11218493953,23299.912404979936,4.16037207772123,4.442721928268552
15,7981,6412,31046095.43718285,28669971.7412019,0.49342187695777473,0.6213349968808484,12200.479729686642,13137.145117731641,15523.047718591426,14334.985870600949,3.9297952151092543,4.582196744495608
16,8027,6665,29051259.235430896,31321549.411348112,0.47576927868444,0.5957989497374344,11445.804264166238,12596.679966274583,14525.629617715449,15660.774705674057,3.9398651092572754,4.021729513071496
17,5894,6250,20529024.660182655,27628915.87521043,0.44333220223956565,0.59776,8173.132446689709,12297.638504907767,10264.51233009133,13814.457937605217,3.9812570650480135,4.451002913198492
18,5398,5805,19133099.459487654,25467922.22333055,0.43608743979251574,0.6167097329888027,7162.373388546538,11960.687727107399,9566.54972974383,12733.961111665276,3.743446483259086,4.69637358800731
19,5562,5694,21022860.36577864,24594458.37042296,0.4381517439769867,0.5997541271513874,8039.490431819616,11103.433398135287,10511.430182889324,12297.22918521148,3.8241658327838355,4.514607815672884
20,5593,6103,19357741.75331728,38356870.95836021,0.42982299302699806,0.5975749631328855,7361.456578503096,10967.016054894215,9678.870876658639,19178.435479180105,3.8028488406926826,2.85920508656712
21,6733,6316,26091951.5826092,28799161.82093426,0.4439328679637606,0.5774224192526916,10627.746640974758,13012.872468926193,13045.975791304603,14399.580910467132,4.073189622219888,4.518489999756545
22,4761,5907,17014791.517441966,27165719.82984504,0.4312119302667507,0.6084306754697816,6260.814197279824,12117.041671062054,8507.395758720984,13582.859914922521,3.6796302739659343,4.460416196205456
23,3774,4042,11365583.248858495,17657761.874799877,0.3887122416534181,0.5900544285007422,4195.707389078832,7556.997730893159,5682.791624429248,8828.880937399937,3.6915900374054536,4.279703047574825
