,pre,post
hours,720.0,720.0
n_blocks,1727248.0,3455722.0
n_headers,1727248.0,3455722.0
block_interval_ms,1500.652772880775,750.0609134646826
n_intervals,1727247.0,3455722.0
swaps,118612.0,132044.0
swaps_per_block,0.06867108834400155,0.03821024955132386
share_blocks_with_swap,0.05814451659518494,0.03388814262258365
volume_quote_per_hour,726878.2139230733,663865.1478939794
arb_swaps_share,0.588245708697265,0.4386795310654024
arb_strict_share,0.2425892827032678,0.24981066917088243
arb_volume_share,0.7614984238027684,0.6027064870151847
arb_swaps_per_hour,96.90701921837903,80.45137336971965
median_arb_size_quote,4381.924072265625,3776.037610109102
fee_bps_of_volume,5.0,5.0
arb_loss_bps_of_volume,4.298026788437959,3.6610010682269842
lp_net_bps_of_volume,0.7019732115620413,1.3389989317730162
arb_loss_over_fee,0.8596053576875917,0.7322002136453968
arb_loss_per_hour_quote,312.4142035373306,243.04110155985234
arb_loss_per_arb_quote,3.85045313165274,3.2209807370418755
mean_abs_dev_bps,2.833181576952059,2.7263487461705878
share_sec_outside_band,0.09698749302660423,0.05900306365622544
dev_half_life_s,51.484156520936196,52.34624856720623
outside_band_episode_mean_s,7.373900035198874,4.8314904909332155
cex_vol_1s_bps,0.43674851485701394,0.4127844998008267
cex_vol_1m_per_s_bps,0.5750149059967345,0.5425656347162086
arb_loss_rate_over_sigma2,94487109699.83562,82561040840.42558
arb_loss_rate_over_sigma3,1643211483988420.5,1521678402717295.5
markout_30s_bps_of_volume,0.23432463787513852,0.5859883144272336
IS_window_hours,336.0,336.0
IS_dex_upper,0.004409062004645929,0.003554300812704352
IS_dex_lower,0.002146878947972343,4.436353496819962e-06
alpha_dex,-0.010829297040036524,-0.007899014058694672
alpha_cex,-0.0010557246006859435,-0.0006208270359410814
