,pre,post
hours,720.0,720.0
n_blocks,1727248.0,3455722.0
n_headers,1727248.0,3455722.0
block_interval_ms,1500.652772880775,750.0609134646826
n_intervals,1727247.0,3455722.0
swaps,32283.0,44085.0
swaps_per_block,0.018690425462932942,0.012757102567857021
share_blocks_with_swap,0.016083388141135493,0.010589104100387705
volume_quote_per_hour,98.01676700285311,107.27686644564102
arb_swaps_share,0.6070997119226837,0.6343200635136668
arb_strict_share,0.09308304680481988,0.06201655892026767
arb_volume_share,0.7542779715691532,0.8005911724350947
arb_swaps_per_hour,27.220854337078965,38.83888139682072
median_arb_size_quote,1.9097117802251231,1.444650295811619
fee_bps_of_volume,25.0,25.0
arb_loss_bps_of_volume,24.598558162413365,24.998865353608355
lp_net_bps_of_volume,0.4014418375866305,0.0011346463916503534
arb_loss_over_fee,0.9839423264965347,0.9999546141443341
arb_loss_per_hour_quote,0.24110711440114013,0.26817999398316056
arb_loss_per_arb_quote,0.009526691820332982,0.007354186141196292
mean_abs_dev_bps,14.253580689994823,14.578690228744367
share_sec_outside_band,0.12006822812515794,0.12890658606998995
dev_half_life_s,179.36343380379537,135.46633770600963
outside_band_episode_mean_s,15.585136217948717,10.994241716297589
cex_vol_1s_bps,1.3513979506789635,1.615121292818659
cex_vol_1m_per_s_bps,1.0694203851057749,1.0792765935972217
arb_loss_rate_over_sigma2,21082063.097174447,23022944.128635067
arb_loss_rate_over_sigma3,197135414574.02878,213318293616.4653
markout_30s_bps_of_volume,-0.31554032809495053,-1.137926653402315
IS_window_hours,336.0,336.0
IS_dex_upper,0.048161256453835274,0.18021582695426994
IS_dex_lower,0.04793477395039671,0.17318485775336528
alpha_dex,-0.0008275512668776149,-0.0015202357443058465
alpha_cex,0.000858410211505483,0.0012085067163497701
