,pre,post
hours,720.0,720.0
n_blocks,1727248.0,3455722.0
n_headers,1727248.0,3455722.0
block_interval_ms,1500.652772880775,750.0609134646826
n_intervals,1727247.0,3455722.0
swaps,262089.0,261673.0
swaps_per_block,0.15173790909006699,0.07572165816578996
share_blocks_with_swap,0.11357199429381305,0.06514383969543847
volume_quote_per_hour,553237.8518292068,797081.2487688484
arb_swaps_share,0.5830958185959731,0.6069139727828243
arb_strict_share,0.26972135419647525,0.3477126031344464
arb_volume_share,0.7870929242386415,0.7307509398770153
arb_swaps_per_hour,212.25433044315622,220.57356856219744
median_arb_size_quote,1294.3117093403014,1800.193902313773
fee_bps_of_volume,4.999999999999999,5.0
arb_loss_bps_of_volume,5.169981703605066,4.5770609389470716
lp_net_bps_of_volume,-0.16998170360506565,0.42293906105292894
arb_loss_over_fee,1.033996340721013,0.9154121877894144
arb_loss_per_hour_quote,286.0229571698769,364.828944890705
arb_loss_per_arb_quote,1.5202590926235786,1.6648071860385
mean_abs_dev_bps,2.9509488676964097,2.833832084865873
share_sec_outside_band,0.13260920558396785,0.10558560741296011
dev_half_life_s,11.94886932937466,13.337613841840513
outside_band_episode_mean_s,4.039083890527503,3.0323760138279483
cex_vol_1s_bps,1.0028580046370992,0.9366278742353376
cex_vol_1m_per_s_bps,1.1683955891649127,1.0880175960931853
arb_loss_rate_over_sigma2,20951787220.722168,30818922377.444225
arb_loss_rate_over_sigma3,179321005787920.16,283257573113777.9
markout_30s_bps_of_volume,-0.5367025885851713,-0.48954189698980405
IS_window_hours,336.0,336.0
IS_dex_upper,0.00016111570480452825,0.004145643740504353
IS_dex_lower,4.692097518711515e-05,0.0007197372236217761
alpha_dex,-0.032152469663854426,-0.02078522235681409
alpha_cex,-0.0006681608452747919,-0.0023015503577635903
