,pre,post
hours,720.0,720.0
n_blocks,1727248.0,3455722.0
n_headers,1727248.0,3455722.0
block_interval_ms,1500.652772880775,750.0609134646826
n_intervals,1727247.0,3455722.0
swaps,1544345.0,824308.0
swaps_per_block,0.8941072735357054,0.2385342339459019
share_blocks_with_swap,0.4729674024807092,0.1886158666698305
volume_quote_per_hour,1874405.955001974,711248.0280869794
arb_swaps_share,0.1377483658120433,0.17083420274945774
arb_strict_share,2.201580605369914e-05,4.1246718459604904e-05
arb_volume_share,0.1869628093798004,0.3125549202317719
arb_swaps_per_hour,295.4599502005789,195.58329560507417
median_arb_size_quote,511.58649949875786,109.20681913782428
fee_bps_of_volume,1.0000000000000002,1.0000000000000002
arb_loss_bps_of_volume,0.13853837444681197,0.41964495876738517
lp_net_bps_of_volume,0.8614616255531878,0.5803550412326149
arb_loss_over_fee,0.13853837444681197,0.41964495876738506
arb_loss_per_hour_quote,25.967715405939767,29.847164941994446
arb_loss_per_arb_quote,0.17340875726329083,0.17882643865166228
mean_abs_dev_bps,0.6673997313232364,0.6864024831192224
share_sec_outside_band,0.25836053885844046,0.2490527588531023
dev_half_life_s,2.2135567761377692,2.095742438784256
outside_band_episode_mean_s,3.1608186306438975,2.851712454333815
cex_vol_1s_bps,0.5990264410244679,0.6206939893891513
cex_vol_1m_per_s_bps,0.0892884364123922,0.08850214998808512
arb_loss_rate_over_sigma2,325719160815.84564,381061825166.9792
arb_loss_rate_over_sigma3,3.6479433833006344e+16,4.305678734564988e+16
markout_30s_bps_of_volume,0.8549604743176148,0.5850882510633645
IS_window_hours,336.0,336.0
IS_dex_upper,0.9816590491501479,0.9581703948033843
IS_dex_lower,0.9812598715511042,0.9573443334383849
alpha_dex,-3.7490042174780244e-05,-7.088146303664004e-05
alpha_cex,0.052267830244464145,0.0577134839306332
