,swaps,swaps,volume_quote,volume_quote,arb_share,arb_share,arb_loss,arb_loss,fee_income,fee_income,arb_loss_bps,arb_loss_bps
regime,post,pre,post,pre,post,pre,post,pre,post,pre,post,pre
hour,,,,,,,,,,,,
0,238672,306076,219903721.62350458,300745091.5893786,0.1980039552188778,0.2286490936891491,13513.398268977944,17203.81656614438,21990.372162350464,30074.50915893786,0.614514305133686,0.5720398120290376
1,259651,361648,242748748.44038343,365242663.5789662,0.18497521673323036,0.20902645666504446,12943.31481934556,15146.602166400608,24274.874844038346,36524.266357896646,0.5331980042123391,0.41469969630549147
2,281327,350120,244444500.92748225,336433832.93824106,0.1872411819697363,0.19753227464869189,12249.341091857976,12196.542957981464,24444.450092748222,33643.38329382411,0.5011092925134736,0.3625242696747558
3,262477,346096,217427166.3339377,318088956.58357316,0.17933380829558399,0.2067201007812861,11080.996908349687,11453.741442873632,21742.716633393775,31808.895658357316,0.5096417846577105,0.3600798206228933
4,271184,397615,206422617.59209043,363349849.6995006,0.1753680158121423,0.19529444311708563,9886.275940401913,10634.848073253983,20642.26175920904,36334.98496995008,0.478933755211751,0.2926889355272685
5,276729,381595,215918111.13845018,323633299.52603275,0.1741017385239711,0.20264154404538842,10258.48363096917,8314.271986112326,21591.811113845022,32363.32995260328,0.4751099190744247,0.2569040947976843
6,299739,406938,224648638.64189875,370392980.40036005,0.17077190489058813,0.2088057640230207,10629.623779676524,10597.32852183201,22464.86386418987,37039.298040036,0.4731666233963109,0.28611040388447134
7,323519,394396,241454884.30148757,366731283.0776547,0.18169566547868904,0.19919319668556476,10970.643091089769,11827.766070055171,24145.488430148762,36673.12830776547,0.45435581569729216,0.32251860192550474
8,325731,372929,242917811.24693045,334876103.79147744,0.19176559799343632,0.19616066328979512,11736.310146991153,11529.010134805674,24291.78112469305,33487.61037914774,0.4831391361031562,0.3442768834286433
9,356728,381497,240312009.9143945,343817237.6656662,0.17364490592271983,0.20177353950358717,10203.784676183534,12787.210731379546,24031.20099143945,34381.72376656662,0.4246056899036545,0.3719188374090205
10,417614,448787,269040003.72080684,378971301.5295399,0.18820968645687167,0.20369351162132593,10517.776602316178,11335.481118490974,26904.000372080685,37897.13015295399,0.39093727538120615,0.2991118607857804
11,287697,363604,203549384.6224724,311489471.02685314,0.1683993924163269,0.1930396805315673,8712.679533061657,10737.14089234256,20354.938462247235,31148.94710268531,0.4280376258184842,0.3447031726930161
12,328550,392231,246134087.5585364,345125445.183652,0.18064221579668238,0.18946233214610778,12441.170732808157,13338.247085236198,24613.408755853645,34512.54451836521,0.5054631341889757,0.38647533154614266
13,365356,468028,317895321.16961056,457490627.41765493,0.19274351591324626,0.20798969292435496,21763.912841853624,21954.070090239766,31789.532116961054,45749.06274176549,0.6846251389224335,0.4798802155611667
14,376166,449008,347590325.2547796,449164783.30846405,0.19384261203830225,0.21670883369561345,20659.382911685036,22206.017104366638,34759.03252547797,44916.4783308464,0.5943601248550848,0.4943846429989737
15,368570,433834,332659437.14073586,397585652.5575923,0.1924844669940581,0.2125467344652563,21026.788177375518,18155.06594306839,33265.94371407359,39758.56525575922,0.6320815173050348,0.45663282430541274
16,325518,372377,306808400.82539177,337074490.6122532,0.19942983183725632,0.20223590608442518,19129.182696418324,16509.340190032894,30680.84008253918,33707.44906122532,0.6234895343463872,0.48978313844057925
17,255624,283926,224410126.48262227,252206326.67000946,0.18073420336118673,0.2055852581306397,12958.92536443516,13087.673415592226,22441.012648262233,25220.632667000948,0.5774661583927526,0.5189272445459441
18,216927,240115,190473610.60185283,209532180.52736297,0.16838844403877803,0.193644711908877,10313.574194316921,11474.660714030259,19047.36106018529,20953.218052736298,0.5414699790552822,0.5476323820594122
19,200655,219239,163983599.40575424,188701062.12303537,0.1718172983479106,0.20073070940845378,8765.592402854174,10792.010018499808,16398.35994057542,18870.10621230354,0.5345407976540968,0.5719104014085139
20,197441,219801,175324665.48016244,205876863.88001952,0.17767333026068546,0.22173238520297905,10272.833513299325,13492.869379393329,17532.466548016244,20587.68638800195,0.5859320184735599,0.6553854146164124
21,198121,201764,172267787.54161963,179286298.6145823,0.18455388373771583,0.2079409607263932,10296.019984493578,12092.993454368332,17226.77875416197,17928.629861458227,0.5976752898162156,0.6745073967065961
22,190922,213708,167725017.38623962,193653782.19519377,0.17429630948764416,0.2101793100866603,10437.509810649064,13457.440932925656,16772.501738623963,19365.37821951937,0.622298925545103,0.6949227007279
23,193640,226707,161374440.75133198,179998389.89310378,0.17079115885147697,0.19799123979409547,9042.977741034076,9161.124886691836,16137.4440751332,17999.838989310374,0.5603723674537,0.5089559352243307
