,pre,post
hours,720.0,720.0
n_blocks,1727248.0,3455722.0
n_headers,1727248.0,3455722.0
block_interval_ms,1500.652772880775,750.0609134646826
n_intervals,1727247.0,3455722.0
swaps,1569954.0,764761.0
swaps_per_block,0.9089337489463007,0.22130281313138037
share_blocks_with_swap,0.4727445045529073,0.17429179777771475
volume_quote_per_hour,1296930.1532991922,948930.0893528626
arb_swaps_share,0.0802106303751575,0.18810059613395558
arb_strict_share,0.016483922458874593,0.06303407208265066
arb_volume_share,0.34115083921729245,0.5295158288065851
arb_swaps_per_hour,174.89874606384728,199.7944059038569
median_arb_size_quote,828.6060165297736,1323.4383215189828
fee_bps_of_volume,4.999999999999999,4.999999999999999
arb_loss_bps_of_volume,2.7233535106252407,3.8810913137115217
lp_net_bps_of_volume,2.276646489374759,1.118908686288478
arb_loss_over_fee,0.5446707021250482,0.7762182627423045
arb_loss_per_hour_quote,353.1999286023086,368.28843271068934
arb_loss_per_arb_quote,1.6106460293212528,1.612900661257602
mean_abs_dev_bps,2.4931954866241024,2.644733047811082
share_sec_outside_band,0.06846797839506173,0.0826893971105721
dev_half_life_s,60.252879157716954,28.568589568186596
outside_band_episode_mean_s,5.5855285934598555,4.185498359631308
cex_vol_1s_bps,0.40125992720403936,0.6064310361976665
cex_vol_1m_per_s_bps,0.5033904961991857,0.7743822754444376
arb_loss_rate_over_sigma2,139383248838.5122,61415398002.22073
arb_loss_rate_over_sigma3,2768889160421493.5,793088890974071.9
markout_30s_bps_of_volume,2.079843874783019,0.3227836495019762
IS_window_hours,336.0,336.0
IS_dex_upper,0.008249104433116636,0.003351330759372521
IS_dex_lower,0.005421930144431805,2.2935502809317287e-05
alpha_dex,-0.008320328651557662,-0.0071344686895290195
alpha_cex,-0.0015336674466586955,-0.0006615702902438861
