窗口,控制,log 越界幅度（严格）,log 套利者利润,log 单笔 LP 损失,log LP 损失（总）,log 套利笔数,n
±30 d,σ,-0.108*** (0.020),-0.372*** (0.066),-0.008 (0.027),-0.079** (0.034),-0.098*** (0.033),4306
±30 d,σ+L+vol,-0.142*** (0.017),-0.276*** (0.053),+0.044* (0.023),+0.022** (0.010),-0.058** (0.025),4306
±30 d,σ+L+vol+趋势,-0.130*** (0.040),+0.103 (0.108),-0.087* (0.053),-0.002 (0.023),+0.174*** (0.045),4306
±30 d,σ+L+vol+池别趋势,-0.143*** (0.037),+0.043 (0.102),-0.119** (0.048),-0.011 (0.023),+0.173*** (0.045),4306
±14 d,σ,-0.145*** (0.032),+0.044 (0.078),+0.040 (0.050),+0.062 (0.053),+0.071** (0.036),2006
±14 d,σ+L+vol,-0.126*** (0.028),+0.005 (0.070),+0.004 (0.043),+0.008 (0.018),+0.066** (0.033),2006
±14 d,σ+L+vol+趋势,-0.245*** (0.050),-0.274** (0.124),-0.248*** (0.068),-0.028 (0.032),+0.172*** (0.065),2006
±14 d,σ+L+vol+池别趋势,-0.240*** (0.050),-0.302** (0.123),-0.256*** (0.068),-0.032 (0.031),+0.166** (0.067),2006
±7 d,σ,-0.221*** (0.039),-0.020 (0.100),-0.049 (0.061),+0.105** (0.044),+0.131*** (0.044),998
±7 d,σ+L+vol,-0.202*** (0.038),-0.128 (0.080),-0.130*** (0.046),-0.011 (0.023),+0.106** (0.050),998
±7 d,σ+L+vol+趋势,-0.148*** (0.057),-0.369*** (0.141),-0.261*** (0.071),-0.080*** (0.024),+0.225*** (0.083),998
±7 d,σ+L+vol+池别趋势,-0.158*** (0.058),-0.372** (0.145),-0.266*** (0.073),-0.083*** (0.025),+0.224*** (0.084),998
