窗口,控制,log 越界幅度（严格）,_b_over,_se_over,log 套利者利润,_b_prof,_se_prof,log 单笔 LP 损失,log LP 损失（总）,_b_loss,_se_loss,log 套利笔数,n
±30 d,σ,-0.108*** (0.020),-0.10752564838983526,0.01981656205021087,-0.372*** (0.066),-0.37185177577072875,0.06587056783157251,-0.008 (0.027),-0.079** (0.034),-0.07908358767087278,0.033504225229718104,-0.098*** (0.033),4306
±30 d,σ+L+vol,-0.142*** (0.017),-0.14170972225900794,0.017424795192243686,-0.276*** (0.053),-0.27625565828224796,0.0531344658004611,+0.044* (0.023),+0.022** (0.010),0.02155498330031082,0.009945563194168752,-0.058** (0.025),4306
±30 d,σ+L+vol+趋势,-0.130*** (0.040),-0.13027069385627904,0.03966935126244627,+0.103 (0.108),0.10319713781768565,0.10829583236703882,-0.087* (0.053),-0.002 (0.023),-0.0016974010664997225,0.023499559662476542,+0.174*** (0.045),4306
±30 d,σ+L+vol+池别趋势,-0.143*** (0.037),-0.14331678140164658,0.037473123871834976,+0.043 (0.102),0.043438002829954886,0.10151912161181656,-0.119** (0.048),-0.011 (0.023),-0.010753784031016341,0.023110793986452334,+0.173*** (0.045),4306
±14 d,σ,-0.145*** (0.032),-0.14491354617742047,0.03161409636701838,+0.044 (0.078),0.044099119871275815,0.07793404390579077,+0.040 (0.050),+0.062 (0.053),0.06169631178970462,0.053464766937765654,+0.071** (0.036),2006
±14 d,σ+L+vol,-0.126*** (0.028),-0.12633675062492186,0.027768316722502552,+0.005 (0.070),0.005397141668088421,0.0696014495563634,+0.004 (0.043),+0.008 (0.018),0.008398568914517488,0.018473221672733006,+0.066** (0.033),2006
±14 d,σ+L+vol+趋势,-0.245*** (0.050),-0.24493315895620218,0.049866257406482,-0.274** (0.124),-0.27423632769488626,0.12379302636871876,-0.248*** (0.068),-0.028 (0.032),-0.028039140125913325,0.03221132026276792,+0.172*** (0.065),2006
±14 d,σ+L+vol+池别趋势,-0.240*** (0.050),-0.23961100959484155,0.04956672565310608,-0.302** (0.123),-0.3015589976154285,0.12270333520929513,-0.256*** (0.068),-0.032 (0.031),-0.03201369715458001,0.03132873938285797,+0.166** (0.067),2006
±7 d,σ,-0.221*** (0.039),-0.22053201757516805,0.039136204671554986,-0.020 (0.100),-0.019792882023657747,0.10018474169596314,-0.049 (0.061),+0.105** (0.044),0.10508929814154969,0.04386015179546542,+0.131*** (0.044),998
±7 d,σ+L+vol,-0.202*** (0.038),-0.20245637039142841,0.03811377808873958,-0.128 (0.080),-0.12808393562283962,0.07989244311423112,-0.130*** (0.046),-0.011 (0.023),-0.010855647814407647,0.02311606570307042,+0.106** (0.050),998
±7 d,σ+L+vol+趋势,-0.148*** (0.057),-0.14788139675284032,0.05728896535586539,-0.369*** (0.141),-0.36931656915547173,0.14112698751282643,-0.261*** (0.071),-0.080*** (0.024),-0.08031415465433939,0.02446220974257913,+0.225*** (0.083),998
±7 d,σ+L+vol+池别趋势,-0.158*** (0.058),-0.15751443672610446,0.05839605360287591,-0.372** (0.145),-0.3717477477121685,0.14469059241929985,-0.266*** (0.073),-0.083*** (0.025),-0.08318832537011887,0.02542686869544288,+0.224*** (0.084),998
