,pre,post
hours,720.0,720.0
n_blocks,1727248.0,3455722.0
n_headers,1727248.0,3455722.0
block_interval_ms,1500.652772880775,750.0609134646826
n_intervals,1727247.0,3455722.0
swaps,118612.0,132044.0
swaps_per_block,0.06867108834400155,0.03821024955132386
share_blocks_with_swap,0.05814451659518494,0.03388814262258365
volume_quote_per_hour,726875.3707848318,663858.2680896971
arb_swaps_share,0.6092722490135906,0.49967435097391777
arb_strict_share,0.23494250160186153,0.2618899760685832
arb_volume_share,0.7809945723580071,0.6730078102867785
arb_swaps_per_hour,100.37091078002375,91.63748232301653
median_arb_size_quote,4335.833032709199,3726.421365832118
fee_bps_of_volume,5.0,5.0
arb_loss_bps_of_volume,4.38368489584609,3.8741573392495847
lp_net_bps_of_volume,0.61631510415391,1.1258426607504137
arb_loss_over_fee,0.8767369791692181,0.7748314678499171
arb_loss_per_hour_quote,318.6392584071994,257.18913815412185
arb_loss_per_arb_quote,3.833796758403172,3.1668546994918496
mean_abs_dev_bps,2.833181576952059,2.7263487461705878
share_sec_outside_band,0.09698749302660423,0.05900306365622544
dev_half_life_s,51.484156520936196,52.34624856720623
outside_band_episode_mean_s,7.373900035198874,4.8314904909332155
cex_vol_1s_bps,0.43674851485701394,0.4127844998008267
cex_vol_1m_per_s_bps,0.5750149059967345,0.5425656347162086
arb_loss_rate_over_sigma2,96369826412.83073,87367127628.11102
arb_loss_rate_over_sigma3,1675953534557207.0,1610259147242320.2
markout_30s_bps_of_volume,0.2311837998820143,0.5887692208085854
ref_kline_vs_tick_mean_abs_bps,0.13618864439820888,0.18285659570434873
ref_kline_vs_tick_rms_bps,0.47519036748772864,0.6168826439140671
IS_window_hours,336.0,336.0
IS_dex_upper,0.004409062004645929,0.003554300812704352
IS_dex_lower,0.002146878947972343,4.436353496819962e-06
alpha_dex,-0.010829297040036524,-0.007899014058694672
alpha_cex,-0.0010557246006859435,-0.0006208270359410814
