,pre,post
hours,720.0,720.0
n_blocks,1727248.0,3455722.0
n_headers,1727248.0,3455722.0
block_interval_ms,1500.652772880775,750.0609134646826
n_intervals,1727247.0,3455722.0
swaps,32283.0,44085.0
swaps_per_block,0.018690425462932942,0.012757102567857021
share_blocks_with_swap,0.016083388141135493,0.010589104100387705
volume_quote_per_hour,98.01662068943715,107.27282538042793
arb_swaps_share,0.6128612582473748,0.6481569694907565
arb_strict_share,0.09172010036241984,0.05797890438924804
arb_volume_share,0.7621131802876575,0.8285834487762909
arb_swaps_per_hour,27.47918786974373,39.68610345561276
median_arb_size_quote,1.9137090059408361,1.4573076116514094
fee_bps_of_volume,24.999999999999996,25.0
arb_loss_bps_of_volume,24.95882007087102,25.59239952650438
lp_net_bps_of_volume,0.0411799291289818,-0.5923995265043803
arb_loss_over_fee,0.998352802834841,1.0236959810601751
arb_loss_per_hour_quote,0.24463791997424758,0.2745369005472851
arb_loss_per_arb_quote,0.009600730731023908,0.007490201357722932
mean_abs_dev_bps,14.253580689994823,14.578690228744367
share_sec_outside_band,0.12006822812515794,0.12890658606998995
dev_half_life_s,179.36343380379537,135.46633770600963
outside_band_episode_mean_s,15.585136217948717,10.994241716297589
cex_vol_1s_bps,1.3513979506789635,1.615121292818659
cex_vol_1m_per_s_bps,1.0694203851057749,1.0792765935972217
arb_loss_rate_over_sigma2,21390791.71375215,23568677.24795933
arb_loss_rate_over_sigma3,200022292558.37885,218374764984.0629
markout_30s_bps_of_volume,-0.5170142154783027,-1.1159982720128423
ref_kline_vs_tick_mean_abs_bps,0.4487354430716068,0.8250945191064337
ref_kline_vs_tick_rms_bps,2.134612640844523,2.53174887740251
IS_window_hours,336.0,336.0
IS_dex_upper,0.048161256453835274,0.18021582695426994
IS_dex_lower,0.04793477395039671,0.17318485775336528
alpha_dex,-0.0008275512668776149,-0.0015202357443058465
alpha_cex,0.000858410211505483,0.0012085067163497701
