,swaps,swaps,volume_quote,volume_quote,arb_share,arb_share,arb_loss,arb_loss,fee_income,fee_income,arb_loss_bps,arb_loss_bps
regime,post,pre,post,pre,post,pre,post,pre,post,pre,post,pre
hour,,,,,,,,,,,,
0,10142,14362,23329063.60272323,22853563.866886836,0.7218497337803195,0.6026319454115026,12231.595492253693,12245.611172347302,11664.531801361614,11426.78193344342,5.243071775425175,5.358293893973495
1,10577,11416,25373927.79718016,17200163.569079563,0.6965112980996502,0.602312543798178,11549.644535781586,9257.840850330947,12686.963898590082,8600.081784539781,4.551776385627264,5.382414424810243
2,9852,9667,21957435.352325726,13616371.430380868,0.6988428745432399,0.6231509258301438,11236.088705006887,6786.682735122979,10978.717676162862,6808.185715190434,5.117213611113633,4.98420799536984
3,8493,8929,19550325.93088955,11351369.734435093,0.6677263628870835,0.5837159816328816,9510.782054146119,5128.83929954027,9775.162965444779,5675.6848672175465,4.86476905181364,4.518255875307818
4,7244,6796,15751536.596609915,8246336.33430409,0.6816675869685257,0.6160977045320777,7815.994814984877,3917.3487972708253,7875.768298304958,4123.168167152045,4.962052284262257,4.750411138307532
5,9062,6621,18761307.007431827,9530762.349770017,0.6632090046347384,0.6248300860897146,9700.390723869148,4655.101268179105,9380.653503715914,4765.3811748850085,5.170423745012316,4.884290571248412
6,9372,6977,18216051.333818406,9219593.412796484,0.6312419974391805,0.6200372653002724,8664.451055623107,4291.620799568777,9108.025666909203,4609.796706398242,4.75649244550459,4.654891606838272
7,9918,7946,20660535.48434273,11387257.93617657,0.6308731599112725,0.6019380820538636,9937.857998264119,5549.307591372847,10330.267742171365,5693.628968088286,4.810067970307629,4.873260641390287
8,9125,7736,18258678.828328744,11221574.262140065,0.6673972602739726,0.625517063081696,8870.826567673912,5599.042918342462,9129.339414164373,5610.787131070032,4.858416455582005,4.989534255663937
9,8897,8206,17436970.32318166,11641705.571004998,0.6262785208497246,0.6019985376553741,8322.045739925721,6580.716068950411,8718.485161590828,5820.852785502499,4.772644321623889,5.65270786897449
10,8325,8272,15608562.660543788,11694965.773451615,0.6201801801801802,0.6086798839458414,7543.7211293045675,5463.276103969396,7804.281330271894,5847.4828867258075,4.833065858379141,4.671476778813164
11,8292,8176,15631636.365979822,12615550.71857537,0.6593101784852871,0.600660469667319,7826.8303857128485,6033.388756370374,7815.81818298991,6307.775359287685,5.0070448176154505,4.782501288260607
12,10428,9189,22300213.211832926,14585764.481305704,0.6590909090909091,0.6220481009903145,11191.427296747219,8085.439552471451,11150.10660591646,7292.882240652852,5.018529280611914,5.543377286006781
13,15894,15351,36608933.36460143,25135173.2834887,0.6931546495532905,0.5989186372223307,18613.388202161084,14019.384396828687,18304.466682300714,12567.58664174435,5.084384190269547,5.577596079688865
14,18388,17042,43000803.31566564,28632224.522123594,0.685338264085273,0.6091421194695458,22253.810548336263,15485.71460566549,21500.401657832823,14316.112261061797,5.175208096688968,5.4084916083624455
15,15181,14193,34975017.17053225,23160774.32229358,0.7090441999868257,0.5809906291834003,17370.17916883871,12120.615949083032,17487.508585266125,11580.387161146791,4.96645336416696,5.233251609129597
16,15336,13400,35032304.44731894,19809603.66573308,0.7138758476786646,0.6118656716417911,18279.150523598822,10357.40451315445,17516.152223659472,9904.80183286654,5.217798489701623,5.228476393533723
17,12565,13718,28039043.6044019,20211909.848445468,0.7000397930760047,0.585216503863537,14388.525946805701,10922.111915528887,14019.521802200954,10105.954924222733,5.1316036844233945,5.403800035437485
18,11170,11697,25232281.719211724,18849129.948137127,0.7026857654431513,0.6354620842951184,12591.421786262956,10158.904611413,12616.140859605863,9424.564974068562,4.990203393566233,5.389588081447235
19,10867,11381,24179168.103283294,17937830.266237896,0.6964203552038281,0.6058342852121957,12255.39499586559,9435.997299921379,12089.584051641645,8968.91513311895,5.068575950800155,5.260389445027563
20,10966,14075,27295825.16684616,21277246.80404868,0.7070946562101039,0.5465719360568384,13626.774093013655,11197.854598931144,13647.91258342308,10638.62340202434,4.992255778940474,5.262830619984345
21,12673,12753,29426590.820673417,20770648.230032343,0.6719008916594335,0.6022112444130793,16592.09324299544,12730.9423888165,14713.295410336708,10385.32411501617,5.638469418393788,6.129294689228231
22,10494,14158,20911497.560969964,22949159.656747974,0.702020202020202,0.5582003107783585,10926.108365984075,13084.478481811235,10455.748780484982,11474.579828373986,5.2249286949094405,5.70150658129387
23,8412,10028,16347486.963615468,14430094.993432898,0.6854493580599144,0.597427203829278,8078.127987445975,7800.292803118312,8173.743481807735,7215.047496716448,4.94151058534283,5.405572733005712
