,pre,post
hours,720.0,720.0
n_blocks,1727248.0,3455722.0
n_headers,1727248.0,3455722.0
block_interval_ms,1500.652772880775,750.0609134646826
n_intervals,1727247.0,3455722.0
swaps,262089.0,261673.0
swaps_per_block,0.15173790909006699,0.07572165816578996
share_blocks_with_swap,0.11357199429381305,0.06514383969543847
volume_quote_per_hour,553234.8365746051,797062.6194849543
arb_swaps_share,0.6001167542323409,0.6820573769552074
arb_strict_share,0.2599574953546314,0.3506513855078667
arb_volume_share,0.80450600382769,0.814415213770571
arb_swaps_per_hour,218.45016855722884,247.88328551634154
median_arb_size_quote,1283.188970188803,1774.774446790137
fee_bps_of_volume,5.000000000000001,5.0
arb_loss_bps_of_volume,5.29482002619957,5.042413238890062
lp_net_bps_of_volume,-0.2948200261995701,-0.042413238890061274
arb_loss_over_fee,1.058964005239914,1.0084826477780122
arb_loss_per_hour_quote,292.92788918864653,401.91191047153256
arb_loss_per_arb_quote,1.5218786312293597,1.7028235938874492
mean_abs_dev_bps,2.9509488676964097,2.833832084865873
share_sec_outside_band,0.13260920558396785,0.10558560741296011
dev_half_life_s,11.94886932937466,13.337613841840513
outside_band_episode_mean_s,4.039083890527503,3.0323760138279483
cex_vol_1s_bps,1.0028580046370992,0.9366278742353376
cex_vol_1m_per_s_bps,1.1683955891649127,1.0880175960931853
arb_loss_rate_over_sigma2,21457588111.190163,33951505616.154457
arb_loss_rate_over_sigma3,183650026670560.66,312049232825519.6
markout_30s_bps_of_volume,-0.5462701243642789,-0.49474526013514547
ref_kline_vs_tick_mean_abs_bps,0.4062863895352753,0.4423502182223761
ref_kline_vs_tick_rms_bps,1.235468725044644,1.2558801284590202
IS_window_hours,336.0,336.0
IS_dex_upper,0.00016111570480452825,0.004145643740504353
IS_dex_lower,4.692097518711515e-05,0.0007197372236217761
alpha_dex,-0.032152469663854426,-0.02078522235681409
alpha_cex,-0.0006681608452747919,-0.0023015503577635903
