,pre,post
hours,720.0,720.0
n_blocks,1727248.0,3455722.0
n_headers,1727248.0,3455722.0
block_interval_ms,1500.652772880775,750.0609134646826
n_intervals,1727247.0,3455722.0
swaps,1544345.0,824308.0
swaps_per_block,0.8941072735357054,0.2385342339459019
share_blocks_with_swap,0.4729674024807092,0.1886158666698305
volume_quote_per_hour,1874406.0652545653,711248.1742746318
arb_swaps_share,0.13787398541129087,0.1707104625940789
arb_strict_share,2.1368282346237403e-05,3.5181024568486535e-05
arb_volume_share,0.18522391725771228,0.31683749173799153
arb_swaps_per_hour,295.7293948529281,195.44162896573516
median_arb_size_quote,511.5607732569139,108.69670052996506
fee_bps_of_volume,0.9999999999999998,1.0000000000000002
arb_loss_bps_of_volume,0.13305752167541543,0.4202417691801391
lp_net_bps_of_volume,0.8669424783245847,0.5797582308198611
arb_loss_over_fee,0.13305752167541546,0.42024176918013906
arb_loss_per_hour_quote,24.940382565613948,29.889619108331516
arb_loss_per_arb_quote,0.1699804332936378,0.18038850306163
mean_abs_dev_bps,0.6673997313232364,0.6864024831192224
share_sec_outside_band,0.25836053885844046,0.2490527588531023
dev_half_life_s,2.2135567761377692,2.095742438784256
outside_band_episode_mean_s,3.1608186306438975,2.851712454333815
cex_vol_1s_bps,0.5990264410244679,0.6206939893891513
cex_vol_1m_per_s_bps,0.0892884364123922,0.08850214998808512
arb_loss_rate_over_sigma2,312833083415.5617,381603841875.8286
arb_loss_rate_over_sigma3,3.503623716409307e+16,4.311803068368431e+16
markout_30s_bps_of_volume,0.8642569712229373,0.5909178635932018
ref_kline_vs_tick_mean_abs_bps,0.1514156084850158,0.1711159477549472
ref_kline_vs_tick_rms_bps,0.3892047699545622,0.4137338703875893
IS_window_hours,336.0,336.0
IS_dex_upper,0.9816590491501479,0.9581703948033843
IS_dex_lower,0.9812598715511042,0.9573443334383849
alpha_dex,-3.7490042174780244e-05,-7.088146303664004e-05
alpha_cex,0.052267830244464145,0.0577134839306332
