,pre,post
hours,720.0,720.0
n_blocks,1727248.0,3455722.0
n_headers,1727248.0,3455722.0
block_interval_ms,1500.652772880775,750.0609134646826
n_intervals,1727247.0,3455722.0
swaps,1340.0,1917.0
swaps_per_block,0.0007758005798819856,0.0005547321225492097
share_blocks_with_swap,0.000732957861291488,0.000530424611701983
volume_quote_per_hour,33.48277456958499,60.239650334947086
arb_swaps_share,0.5895522388059702,0.6484089723526343
arb_strict_share,0.19850746268656716,0.2300469483568075
arb_volume_share,0.463127375821416,0.559723223841631
arb_swaps_per_hour,1.0972230688449607,1.7263885558664052
median_arb_size_quote,6.4858632,6.230649378431962
fee_bps_of_volume,99.99999999999999,100.00000000000001
arb_loss_bps_of_volume,33.61437708766193,46.46156258178122
lp_net_bps_of_volume,66.38562291233806,53.53843741821877
arb_loss_over_fee,0.33614377087661934,0.4646156258178122
arb_loss_per_hour_quote,0.11255026103232073,0.2798828283941762
arb_loss_per_arb_quote,0.19206386081527563,0.39439220309862266
mean_abs_dev_bps,44.28177108030716,51.27514145863923
share_sec_outside_band,0.014217454020915975,0.021077152362209736
dev_half_life_s,14440.899386078632,4777.70448639553
outside_band_episode_mean_s,32.12666076173605,26.533268576979115
cex_vol_1s_bps,0.4004614331278499,0.6064310361976665
cex_vol_1m_per_s_bps,0.5115247198342856,0.7743822754444376
arb_loss_rate_over_sigma2,43014339.07152067,46672970.892133795
arb_loss_rate_over_sigma3,840904406055.9901,602712282707.4908
markout_30s_bps_of_volume,66.54971724187031,53.269716441351896
ref_kline_vs_tick_mean_abs_bps,0.10759841272484995,0.16608280461511518
ref_kline_vs_tick_rms_bps,0.38372334235771016,0.583047082488834
IS_window_hours,336.0,336.0
IS_dex_upper,0.005716035233390212,0.015369688196784125
IS_dex_lower,0.0054442506693664775,0.014754544009083045
alpha_dex,-7.207441178029208e-05,-6.469210545021204e-05
alpha_cex,-5.781180892937897e-06,-5.2810661173032504e-06
