窗口,控制,log 越界幅度（严格）,_b_over,_se_over,log 套利者利润,_b_prof,_se_prof,log 单笔 LP 损失,log LP 损失（总）,_b_loss,_se_loss,log 套利笔数,n
±30 d,σ,-0.099*** (0.020),-0.0987424497977111,0.02027552310882196,-0.313*** (0.062),-0.3133987995914366,0.06212537313187444,-0.006 (0.027),-0.073** (0.033),-0.07304662068598126,0.03338409812681737,-0.083** (0.032),4306
±30 d,σ+L+vol,-0.132*** (0.018),-0.1315806805682695,0.018100183048279324,-0.217*** (0.049),-0.2166217706379864,0.049242281672068074,+0.045** (0.023),+0.028*** (0.010),0.027945611108233865,0.009813953218905276,-0.043* (0.024),4306
±30 d,σ+L+vol+趋势,-0.110*** (0.041),-0.10965160966665873,0.04146517000196153,+0.138 (0.100),0.13771061459551143,0.09998123251397385,-0.085 (0.053),+0.001 (0.022),0.0008707166702556128,0.022436717660856552,+0.176*** (0.045),4306
±30 d,σ+L+vol+池别趋势,-0.122*** (0.039),-0.12249891521684605,0.03948160471706768,+0.078 (0.093),0.07837459174867352,0.09277740930515571,-0.116** (0.048),-0.008 (0.022),-0.0082096374318955,0.02197489017890947,+0.176*** (0.045),4306
±14 d,σ,-0.128*** (0.032),-0.1281236662805656,0.03176540100568677,+0.083 (0.071),0.08335585906020838,0.0705497251715592,+0.042 (0.050),+0.066 (0.053),0.06567755307632818,0.05344240193798114,+0.080** (0.036),2006
±14 d,σ+L+vol,-0.111*** (0.028),-0.11078335457691046,0.028076584135009713,+0.045 (0.062),0.04518762433422752,0.06171465553218836,+0.006 (0.043),+0.012 (0.018),0.012386502077451293,0.018147833798542404,+0.075** (0.034),2006
±14 d,σ+L+vol+趋势,-0.205*** (0.058),-0.20529192508160987,0.057746554658348645,-0.212* (0.111),-0.21244426816748202,0.11068003737770818,-0.245*** (0.069),-0.026 (0.031),-0.026427598006549872,0.030528055394423464,+0.180*** (0.066),2006
±14 d,σ+L+vol+池别趋势,-0.199*** (0.057),-0.19912935780058055,0.05742134700947239,-0.239** (0.110),-0.23931174902352037,0.11039997711627055,-0.253*** (0.068),-0.030 (0.030),-0.030364866906890713,0.029724377915361845,+0.174** (0.069),2006
±7 d,σ,-0.187*** (0.045),-0.18689068159829156,0.04527724660590808,+0.021 (0.087),0.020886126769441706,0.0870373267072207,-0.047 (0.061),+0.108** (0.043),0.10769008071238102,0.04298085490265478,+0.140*** (0.043),998
±7 d,σ+L+vol,-0.169*** (0.046),-0.1689874346234314,0.045922906137134956,-0.087 (0.067),-0.08701148216730317,0.06711760986734891,-0.128*** (0.046),-0.008 (0.022),-0.008393283743369196,0.021879609569116432,+0.114** (0.050),998
±7 d,σ+L+vol+趋势,-0.104 (0.072),-0.10382274227477335,0.07156567809002767,-0.263** (0.131),-0.26260154658720064,0.13116074624197288,-0.259*** (0.073),-0.077*** (0.024),-0.0772115792886468,0.024481287296689164,+0.230*** (0.086),998
±7 d,σ+L+vol+池别趋势,-0.112 (0.072),-0.11156367186339936,0.07173129640892854,-0.267* (0.137),-0.26709932991899615,0.13716607542797377,-0.263*** (0.075),-0.080*** (0.026),-0.08033916292725087,0.025687054001413735,+0.228*** (0.087),998
