,pre,post
hours,720.0,720.0
n_blocks,1727248.0,3455722.0
n_headers,1727248.0,3455722.0
block_interval_ms,1500.652772880775,750.0609134646826
n_intervals,1727247.0,3455722.0
swaps,118612.0,132044.0
swaps_per_block,0.06867108834400155,0.03821024955132386
share_blocks_with_swap,0.05814451659518494,0.03388814262258365
volume_quote_per_hour,726873.4343782023,663855.930697428
arb_swaps_share,0.6140188176575726,0.5167216988276635
arb_strict_share,0.21926112029137018,0.24488049438066098
arb_volume_share,0.7818091829205055,0.6871209704239952
arb_swaps_per_hour,101.15285582782086,94.76387060882126
median_arb_size_quote,4289.583490182062,3685.500668969191
fee_bps_of_volume,5.0,5.0
arb_loss_bps_of_volume,4.445525443128326,3.9559784247900533
lp_net_bps_of_volume,0.554474556871673,1.0440215752099473
arb_loss_over_fee,0.8891050886256654,0.7911956849580107
arb_loss_per_hour_quote,323.13343464623665,262.6199739007946
arb_loss_per_arb_quote,3.855983442398842,3.1664935008212898
mean_abs_dev_bps,2.833181576952059,2.7263487461705878
share_sec_outside_band,0.09698749302660423,0.05900306365622544
dev_half_life_s,51.484156520936196,52.34624856720623
outside_band_episode_mean_s,7.373900035198874,4.8314904909332155
cex_vol_1s_bps,0.43674851485701394,0.4127844998008267
cex_vol_1m_per_s_bps,0.5750149059967345,0.5425656347162086
arb_loss_rate_over_sigma2,97729053101.3112,89211982053.97147
arb_loss_rate_over_sigma3,1699591646792304.2,1644261566633025.2
markout_30s_bps_of_volume,0.23118441576068252,0.588771293825578
ref_kline_vs_tick_mean_abs_bps,0.17121410392220326,0.237724622188526
ref_kline_vs_tick_rms_bps,0.5705755425937046,0.7523772053321399
IS_window_hours,336.0,336.0
IS_dex_upper,0.004409062004645929,0.003554300812704352
IS_dex_lower,0.002146878947972343,4.436353496819962e-06
alpha_dex,-0.010829297040036524,-0.007899014058694672
alpha_cex,-0.0010557246006859435,-0.0006208270359410814
