,pre,post
hours,720.0,720.0
n_blocks,1727248.0,3455722.0
n_headers,1727248.0,3455722.0
block_interval_ms,1500.652772880775,750.0609134646826
n_intervals,1727247.0,3455722.0
swaps,32283.0,44085.0
swaps_per_block,0.018690425462932942,0.012757102567857021
share_blocks_with_swap,0.016083388141135493,0.010589104100387705
volume_quote_per_hour,98.01684638198941,107.27152213209814
arb_swaps_share,0.615649103243193,0.6502438471135307
arb_strict_share,0.09100765108571074,0.057593285698083245
arb_volume_share,0.7651154579044418,0.8336778777833376
arb_swaps_per_hour,27.60418796619442,39.81388120874205
median_arb_size_quote,1.908865362610199,1.4610920458694676
fee_bps_of_volume,25.000000000000004,25.0
arb_loss_bps_of_volume,24.85435467789244,25.737104271428574
lp_net_bps_of_volume,0.14564532210756312,-0.737104271428573
arb_loss_over_fee,0.9941741871156976,1.029484170857143
arb_loss_per_hour_quote,0.24361454643864636,0.2760858350468668
arb_loss_per_arb_quote,0.009547185549909213,0.007526718499848421
mean_abs_dev_bps,14.253580689994823,14.578690228744367
share_sec_outside_band,0.12006822812515794,0.12890658606998995
dev_half_life_s,179.36343380379537,135.46633770600963
outside_band_episode_mean_s,15.585136217948717,10.994241716297589
cex_vol_1s_bps,1.3513979506789635,1.615121292818659
cex_vol_1m_per_s_bps,1.0694203851057749,1.0792765935972217
arb_loss_rate_over_sigma2,21301309.387595534,23701651.49377509
arb_loss_rate_over_sigma3,199185555879.30606,219606833265.76773
markout_30s_bps_of_volume,-0.5170130250068465,-1.116011830344589
ref_kline_vs_tick_mean_abs_bps,0.4527913952885696,0.9757460347777079
ref_kline_vs_tick_rms_bps,2.189952671544129,2.7203441677729923
IS_window_hours,336.0,336.0
IS_dex_upper,0.048161256453835274,0.18021582695426994
IS_dex_lower,0.04793477395039671,0.17318485775336528
alpha_dex,-0.0008275512668776149,-0.0015202357443058465
alpha_cex,0.000858410211505483,0.0012085067163497701
