,pre,post
hours,720.0,720.0
n_blocks,1727248.0,3455722.0
n_headers,1727248.0,3455722.0
block_interval_ms,1500.652772880775,750.0609134646826
n_intervals,1727247.0,3455722.0
swaps,262089.0,261673.0
swaps_per_block,0.15173790909006699,0.07572165816578996
share_blocks_with_swap,0.11357199429381305,0.06514383969543847
volume_quote_per_hour,553233.0373830509,797059.437198367
arb_swaps_share,0.5977015441319552,0.6888482953915765
arb_strict_share,0.2366333573709694,0.31017338433846825
arb_volume_share,0.798297130459831,0.8168188543479397
arb_swaps_per_hour,217.5710012121923,250.35134059580622
median_arb_size_quote,1274.9117128078,1753.1114501953125
fee_bps_of_volume,5.000000000000001,5.000000000000001
arb_loss_bps_of_volume,5.349574944958772,5.14299478028511
lp_net_bps_of_volume,-0.3495749449587713,-0.1429947802851095
arb_loss_over_fee,1.0699149889917543,1.028598956057022
arb_loss_per_hour_quote,295.9561595507809,409.9272525088189
arb_loss_per_arb_quote,1.543604132156697,1.727262320420769
mean_abs_dev_bps,2.9509488676964097,2.833832084865873
share_sec_outside_band,0.13260920558396785,0.10558560741296011
dev_half_life_s,11.94886932937466,13.337613841840513
outside_band_episode_mean_s,4.039083890527503,3.0323760138279483
cex_vol_1s_bps,1.0028580046370992,0.9366278742353376
cex_vol_1m_per_s_bps,1.1683955891649127,1.0880175960931853
arb_loss_rate_over_sigma2,21679415327.096386,34628601574.50775
arb_loss_rate_over_sigma3,185548589263258.97,318272440619075.44
markout_30s_bps_of_volume,-0.5462719009114617,-0.4947472354222219
ref_kline_vs_tick_mean_abs_bps,0.48143234254079137,0.561619750191206
ref_kline_vs_tick_rms_bps,1.4806175822749363,1.4634299427072246
IS_window_hours,336.0,336.0
IS_dex_upper,0.00016111570480452825,0.004145643740504353
IS_dex_lower,4.692097518711515e-05,0.0007197372236217761
alpha_dex,-0.032152469663854426,-0.02078522235681409
alpha_cex,-0.0006681608452747919,-0.0023015503577635903
