,pre,post
hours,720.0,720.0
n_blocks,1727248.0,3455722.0
n_headers,1727248.0,3455722.0
block_interval_ms,1500.652772880775,750.0609134646826
n_intervals,1727247.0,3455722.0
swaps,1544345.0,824308.0
swaps_per_block,0.8941072735357054,0.2385342339459019
share_blocks_with_swap,0.4729674024807092,0.1886158666698305
volume_quote_per_hour,1874405.122937879,711247.8770058766
arb_swaps_share,0.13763958182918973,0.17114233999912654
arb_strict_share,1.9425711223852183e-05,3.8820440903157555e-05
arb_volume_share,0.18642083135574636,0.3221805452009698
arb_swaps_per_hour,295.2266166872042,195.9360733148007
median_arb_size_quote,511.5051540141588,108.10387788458631
fee_bps_of_volume,0.9999999999999998,0.9999999999999999
arb_loss_bps_of_volume,0.14136160742617043,0.43168604622990187
lp_net_bps_of_volume,0.8586383925738293,0.5683139537700982
arb_loss_over_fee,0.14136160742617043,0.4316860462299019
arb_loss_per_hour_quote,26.496892114634715,30.70357839140784
arb_loss_per_arb_quote,0.17347362126181357,0.18307288109421604
mean_abs_dev_bps,0.6673997313232364,0.6864024831192224
share_sec_outside_band,0.25836053885844046,0.2490527588531023
dev_half_life_s,2.2135567761377692,2.095742438784256
outside_band_episode_mean_s,3.1608186306438975,2.851712454333815
cex_vol_1s_bps,0.5990264410244679,0.6206939893891513
cex_vol_1m_per_s_bps,0.0892884364123922,0.08850214998808512
arb_loss_rate_over_sigma2,332356748712.39136,391995743774.165
arb_loss_rate_over_sigma3,3.722282101316582e+16,4.429222836133795e+16
markout_30s_bps_of_volume,0.8642574057094606,0.5909181105695701
ref_kline_vs_tick_mean_abs_bps,0.16235191623519427,0.21287432306137577
ref_kline_vs_tick_rms_bps,0.4030138697491667,0.46147118510887264
IS_window_hours,336.0,336.0
IS_dex_upper,0.9816590491501479,0.9581703948033843
IS_dex_lower,0.9812598715511042,0.9573443334383849
alpha_dex,-3.7490042174780244e-05,-7.088146303664004e-05
alpha_cex,0.052267830244464145,0.0577134839306332
