,swaps,swaps,volume_quote,volume_quote,arb_share,arb_share,arb_loss,arb_loss,fee_income,fee_income,arb_loss_bps,arb_loss_bps
regime,post,pre,post,pre,post,pre,post,pre,post,pre,post,pre
hour,,,,,,,,,,,,
0,238672,306076,219901380.88503465,300745142.17826766,0.21564741570020782,0.23625831492831845,18238.530649446056,18166.690905835785,21990.138088503467,30074.51421782677,0.8293959126605591,0.6040560048370597
1,259651,361648,242746260.76699492,365242283.9533854,0.20193259413597484,0.214487568021944,17614.12788082087,16129.890408678104,24274.626076699496,36524.22839533855,0.7256189168544251,0.4416216609448403
2,281327,350120,244442096.66825554,336433532.6266409,0.2014524023645082,0.20340169084885182,16681.272836112017,12885.279669091866,24444.209666825547,33643.353262664095,0.6824222612830472,0.38299629553845277
3,262477,346096,217425362.31516436,318087850.49408615,0.1934379012256312,0.21084034487541028,14844.760890515592,12719.789307458845,21742.536231516435,31808.785049408616,0.6827520364895463,0.39988290303138535
4,271184,397615,206420576.74990687,363349533.2781701,0.18714968434715912,0.19906442161387272,13532.948007358455,11369.712691251027,20642.057674990683,36334.953327817006,0.6556007264602588,0.31291392034200566
5,276729,381595,215916294.51703605,323633176.65475726,0.18718674226409232,0.20525164113785557,13661.451843810455,8649.138502150772,21591.62945170361,32363.317665475726,0.6327198173888886,0.26725129331772524
6,299739,406938,224647098.78203365,370392750.32976425,0.18298920060452595,0.21211585057183158,14304.451287077545,11112.141671235633,22464.70987820336,37039.27503297642,0.6367521042840887,0.3000096967703171
7,323519,394396,241453251.39223394,366730935.979794,0.19429152538181682,0.20302944248927474,14701.966672853612,12374.456991618155,24145.325139223398,36673.09359797942,0.6088949553622157,0.3374260466616309
8,325731,372929,242915857.6363858,334875805.3698299,0.20383076833337938,0.20037057992271987,15507.243957054327,12170.42311682955,24291.585763638574,33487.58053698299,0.6383792358367439,0.363430947284734
9,356728,381497,240310536.67012927,343816913.15014803,0.1843281155390101,0.20640005032804976,13379.422520367838,13489.78258848083,24031.053667012933,34381.69131501481,0.556755550786921,0.3923536647712766
10,417614,448787,269038513.04059666,378971059.00735843,0.19651640031225007,0.20698460516904454,13731.684599069558,12093.762968418749,26903.851304059666,37897.10590073584,0.5103984720952391,0.3191210167894094
11,287697,363604,203548233.4838636,311489215.4122079,0.17993931115027267,0.19731081066214892,11386.493608705981,11375.369115310776,20354.823348386362,31148.921541220785,0.5594002666502459,0.3651930324540203
12,328550,392231,246132132.82858747,345124963.1756801,0.1958697306346066,0.19429876781794403,16434.178101666228,14188.478434697927,24613.213282858746,34512.496317568,0.6676973832226691,0.41111133498261376
13,365356,468028,317892303.1570475,457489972.25352716,0.21054259407263054,0.21459399864965345,28635.574929388884,23386.752928901777,31789.23031570475,45748.99722535273,0.9007948492304996,0.5111970610787845
14,376166,449008,347586955.39611006,449164126.22458047,0.21310272592419305,0.22504721519438406,26877.531851082487,23505.944483053936,34758.69553961101,44916.412622458025,0.7732606599247331,0.5233263992080491
15,368570,433834,332656291.05473524,397585147.551021,0.21188376699134492,0.21933274017250837,27144.192758518995,19236.41284919864,33265.62910547352,39758.5147551021,0.8159831480250794,0.4838312740726837
16,325518,372377,306804628.9272028,337073969.68611085,0.22168666556073705,0.2095940404482554,26995.06691953189,17678.583630730747,30680.462892720276,33707.39696861108,0.8798780844319385,0.5244719325907412
17,255624,283926,224408020.38644093,252205861.54745653,0.20001643038212374,0.21285827997435952,17687.092503771506,14077.887436256355,22440.802038644095,25220.586154745655,0.7881666828713839,0.558190335065126
18,216927,240115,190471901.37538213,209531711.81681895,0.18654662628441826,0.20182829061074903,13673.790385750206,12453.926431339629,19047.190137538215,20953.1711816819,0.7178901605440423,0.594369526376387
19,200655,219239,163982163.7699001,188700719.73530978,0.18892626647728689,0.2086763760097428,11776.957651960212,11578.408472393177,16398.216376990014,18870.07197353098,0.7181852819362505,0.6135858140146044
20,197441,219801,175322977.9894235,205876353.26776597,0.19796800056725808,0.22860678522845665,13648.332877224044,14337.439429161253,17532.29779894235,20587.63532677659,0.7784680042365804,0.6964102094092253
21,198121,201764,172266025.56715867,179285913.39001676,0.20015546055188496,0.214770722229932,13969.95444928431,13005.380466875024,17226.60255671587,17928.59133900168,0.8109523861881901,0.7253989017298448
22,190922,213708,167722481.76055604,193653198.7542435,0.19437780873864718,0.2176193684840998,15227.227125267118,14503.106305730791,16772.248176055604,19365.31987542435,0.9078822925483425,0.7489215979404515
23,193640,226707,161372603.17651394,179998145.7184395,0.18948047923982647,0.20429452994393646,12736.932645235189,9818.725015789121,16137.2603176514,17999.814571843945,0.7892871772851783,0.5454903425031931
