,pre,post
hours,720.0,720.0
n_blocks,1727248.0,3455722.0
n_headers,1727248.0,3455722.0
block_interval_ms,1500.652772880775,750.0609134646826
n_intervals,1727247.0,3455722.0
swaps,8232039.0,6818558.0
swaps_per_block,4.765985544635165,1.9731211017552917
share_blocks_with_swap,0.9414478986225487,0.7934480840762075
volume_quote_per_hour,10429811.21652076,7743587.323331185
arb_swaps_share,0.2099092339091202,0.19818486548035524
arb_strict_share,0.021510466604932266,0.0339763920758612
arb_volume_share,0.41956251826134894,0.5103945388309741
arb_swaps_per_hour,2399.9754629440304,1876.8538046192507
median_arb_size_quote,487.388,392.99851957776156
fee_bps_of_volume,0.9999999999999994,1.0000000000000004
arb_loss_bps_of_volume,0.45317181487824043,0.7217282086461613
lp_net_bps_of_volume,0.5468281851217595,0.278271791353839
arb_loss_over_fee,0.45317181487824065,0.7217282086461608
arb_loss_per_hour_quote,472.64964778281416,558.8765407362938
arb_loss_per_arb_quote,0.41147748747326357,0.4603923014871546
mean_abs_dev_bps,0.9665958943778342,0.8649852871280974
share_sec_outside_band,0.4001087962962963,0.3328328191231408
dev_half_life_s,7.1310869093494516,2.672694638322335
outside_band_episode_mean_s,6.969402909848459,4.526438675285426
cex_vol_1s_bps,0.40125992720403936,0.6064310361976665
cex_vol_1m_per_s_bps,0.5033904961991857,0.7743822754444376
arb_loss_rate_over_sigma2,186521678333.98746,93197673711.3188
arb_loss_rate_over_sigma3,3705307901962913.0,1203509902881368.0
markout_30s_bps_of_volume,0.41693409151004773,-0.025912001263114874
ref_kline_vs_tick_mean_abs_bps,0.057978763929248854,0.12978496948676405
ref_kline_vs_tick_rms_bps,0.24453390263948288,0.47858529295797925
IS_window_hours,336.0,336.0
IS_dex_upper,0.001170387387255724,0.014653703937117665
IS_dex_lower,0.0002976764449576218,0.00014358012754999095
alpha_dex,-0.050044236769850876,-0.04703674762295294
alpha_cex,-0.0011159172465995658,0.0005593346742332375
