hour,n_blocks,interval_ms,n_intervals,n_headers,gas_used,gas_limit
2025-05-31 02:00:00+00:00,1199,1500.0,1198,6,62240748.0,100000000.0
2025-05-31 03:00:00+00:00,2400,1500.0,2400,12,60558136.5,100000000.0
2025-05-31 04:00:00+00:00,2400,1500.0,2400,12,65247359.083333336,99943034.91666667
2025-05-31 05:00:00+00:00,2400,1500.4166666666667,2400,68,62777026.191176474,99767471.75
2025-05-31 06:00:00+00:00,2399,1500.208420175073,2399,63,74130302.15873016,100076134.26984127
2025-05-31 07:00:00+00:00,2400,1500.2083333333333,2400,40,73595349.325,99922232.6
2025-05-31 08:00:00+00:00,2399,1500.625260525219,2399,119,66470318.89915966,99986846.7394958
2025-05-31 09:00:00+00:00,2400,1500.0,2400,12,66666747.75,99812955.83333333
2025-05-31 10:00:00+00:00,2399,1500.8336807002918,2399,96,54910336.53125,100045924.85416667
2025-05-31 11:00:00+00:00,2399,1500.208420175073,2399,40,54428264.975,100063647.5
2025-05-31 12:00:00+00:00,2400,1500.2083333333333,2400,40,56823410.475,100022010.6
2025-05-31 13:00:00+00:00,2400,1500.2083333333333,2400,40,60689761.375,100083271.625
2025-05-31 14:00:00+00:00,2400,1500.0,2400,12,58060979.083333336,100056965.33333333
2025-05-31 15:00:00+00:00,2400,1500.0,2400,12,57249872.083333336,100000000.0
2025-05-31 16:00:00+00:00,2400,1500.0,2400,12,52262718.166666664,99740602.5
2025-05-31 17:00:00+00:00,2400,1500.0,2400,12,37306759.0,100000254.41666667
2025-05-31 18:00:00+00:00,2400,1500.0,2400,12,26998618.083333332,99983851.33333333
2025-05-31 19:00:00+00:00,2400,1500.0,2400,12,22015021.75,99813716.5
2025-05-31 20:00:00+00:00,2400,1500.0,2400,12,18581634.25,99814096.5
2025-05-31 21:00:00+00:00,2400,1500.0,2400,12,17902363.5,99926759.66666667
2025-05-31 22:00:00+00:00,2400,1500.0,2400,12,19170646.916666668,100000000.0
2025-05-31 23:00:00+00:00,2400,1500.0,2400,12,20135877.083333332,99853772.0
2025-06-01 00:00:00+00:00,2400,1500.0,2400,12,39710645.583333336,99999873.75
2025-06-01 01:00:00+00:00,2399,1500.208420175073,2399,40,50160700.925,99819285.175
2025-06-01 02:00:00+00:00,2400,1500.0,2400,12,63887381.166666664,100056965.33333333
2025-06-01 03:00:00+00:00,2400,1500.4166666666667,2400,91,58128334.21978022,100066702.98901099
2025-06-01 04:00:00+00:00,2400,1500.0,2400,12,74537598.0,99869921.16666667
2025-06-01 05:00:00+00:00,2399,1500.208420175073,2399,40,65924021.4,100029418.15
2025-06-01 06:00:00+00:00,2400,1500.0,2400,12,66655797.416666664,99983851.33333333
2025-06-01 07:00:00+00:00,2400,1500.4166666666667,2400,68,72828662.89705883,99989958.63235295
2025-06-01 08:00:00+00:00,2400,1500.0,2400,12,67821880.75,100000000.25
2025-06-01 09:00:00+00:00,2399,1500.208420175073,2399,40,59214888.525,100049066.225
2025-06-01 10:00:00+00:00,2400,1500.0,2400,12,49886802.083333336,100073368.41666667
2025-06-01 11:00:00+00:00,2400,1500.0,2400,12,48025464.666666664,99869920.91666667
2025-06-01 12:00:00+00:00,2397,1502.0859407592823,2397,95,56516570.74736842,100046433.58947368
2025-06-01 13:00:00+00:00,2400,1500.2083333333333,2400,40,56574077.775,99953764.1
2025-06-01 14:00:00+00:00,2399,1500.208420175073,2399,40,72972477.05,99912434.55
2025-06-01 15:00:00+00:00,2392,1505.016722408027,2392,66,60104723.09090909,99971946.54545455
2025-06-01 16:00:00+00:00,2400,1500.0,2400,12,47489721.666666664,100000000.0
2025-06-01 17:00:00+00:00,2400,1500.0,2400,12,29171737.333333332,99869794.41666667
2025-06-01 18:00:00+00:00,2400,1500.0,2400,12,29195062.583333332,100016403.33333333
2025-06-01 19:00:00+00:00,2400,1500.0,2400,12,22301915.75,99926886.0
2025-06-01 20:00:00+00:00,2400,1500.0,2400,12,20013309.583333332,99869920.91666667
2025-06-01 21:00:00+00:00,2400,1500.0,2400,12,25204468.25,100000000.0
2025-06-01 22:00:00+00:00,2400,1500.4166666666667,2400,91,22890973.0,99899334.2967033
2025-06-01 23:00:00+00:00,2398,1500.8340283569642,2398,96,23836852.458333332,99955611.75
2025-06-02 00:00:00+00:00,2400,1500.0,2400,12,43726290.083333336,100016403.33333333
2025-06-02 01:00:00+00:00,2400,1500.0,2400,12,55550861.166666664,99871061.58333333
2025-06-02 02:00:00+00:00,2399,1500.625260525219,2399,92,69829724.57608695,100003429.14130434
2025-06-02 03:00:00+00:00,2400,1500.2083333333333,2400,40,67867446.7,99951459.9
2025-06-02 04:00:00+00:00,2400,1500.0,2400,12,70102945.75,99887084.91666667
2025-06-02 05:00:00+00:00,2400,1500.0,2400,12,75285194.33333333,100000000.25
2025-06-02 06:00:00+00:00,2399,1500.625260525219,2399,40,76496400.7,100146764.05
2025-06-02 07:00:00+00:00,2400,1500.2083333333333,2400,40,73394856.45,100078448.5
2025-06-02 08:00:00+00:00,2399,1500.208420175073,2399,40,63197748.125,100124820.35
2025-06-02 09:00:00+00:00,2400,1500.4166666666667,2400,68,56454972.558823526,100135251.95588236
2025-06-02 10:00:00+00:00,2396,1502.2954924874791,2396,123,54193081.65853658,99998564.98373984
2025-06-02 11:00:00+00:00,2400,1500.0,2400,12,51398732.0,100000000.0
2025-06-02 12:00:00+00:00,2400,1500.0,2400,12,50675562.583333336,99812955.83333333
