Fork,Pool,Regime,Δt (s),σ (bp/√s),Swaps/h,Volume/h (kUSDT),Arbs/h,Strict arbs/h,"Overshoot, strict (bp)",Arb profit/h (USDT),LP loss/h (USDT),LP loss (bp of vol.),LP net (bp of vol.)
Maxwell,BTCB/USDT 0.05%,pre,1.5,0.6939509709146339,171.19940476190476,743.7118655651418,100.38988095238095,44.69940476190476,0.7638601119995375,73.86812625825586,348.5784414232964,4.687009278229197,0.31299072177080367
Maxwell,BTCB/USDT 0.05%,post,0.75,0.5311805481231134,148.19940476190476,528.3754386671549,62.785714285714285,34.392857142857146,0.5662628554693899,39.85742971071345,200.30541618924863,3.7909675872619273,1.2090324127380725
Maxwell,ETH/USDT 0.05%,pre,1.5,1.3866713458830142,380.3809523809524,510.918074534935,207.97321428571428,107.38095238095238,1.294287213048838,95.93118374741798,266.467949195247,5.215473135057913,-0.2154731350579134
Maxwell,ETH/USDT 0.05%,post,0.75,1.0375577993693135,288.16964285714283,538.0461432337124,169.29166666666666,88.8452380952381,0.8263525288603577,67.28118263203916,253.25170629912463,4.706877086360214,0.2931229136397866
Maxwell,WBNB/USDT 0.05%,pre,1.5,0.4930653977660833,1444.4583333333333,945.320415455728,131.21130952380952,31.86904761904762,0.35674326148225227,53.46419759269003,303.1261122175501,3.2065964858213336,1.7934035141786662
Maxwell,WBNB/USDT 0.05%,post,0.75,0.4127532965532778,822.9553571428571,539.8606225902005,99.01488095238095,25.976190476190474,0.26852267840217364,39.23995347095811,178.72422495686374,3.310562346617572,1.6894376533824278
Fermi,BTCB/USDT 0.05%,pre,0.75,0.6681053559269031,230.43154761904762,920.4766055400124,92.08035714285714,40.18154761904762,0.4233317366144811,64.6773653678207,411.98547865411786,4.4757843510039015,0.5242156489960991
Fermi,BTCB/USDT 0.05%,post,0.45,0.7371116429798927,322.42857142857144,1303.4920793612314,115.0625,43.67857142857143,0.3445186441680948,122.17739497963798,541.6001902469374,4.154994102552164,0.8450058974478356
Fermi,ETH/USDT 0.05%,pre,0.75,0.9175799470863831,224.5297619047619,290.5340893166459,116.68452380952381,64.07738095238095,0.6341217429432202,24.693861396064293,131.15043813724898,4.514115312448287,0.485884687551713
Fermi,ETH/USDT 0.05%,post,0.45,1.0330392105115975,283.4970238095238,244.11438041352048,126.13095238095238,73.16369047619048,0.5994844751369752,16.141483580445836,97.38355601253328,3.989259290975372,1.0107407090246288
Fermi,WBNB/USDT 0.05%,pre,0.75,0.6429333144274301,324.6220238095238,152.28560753772678,81.24107142857143,38.464285714285715,0.4974274790123291,25.080756231497606,59.22688921932304,3.8891980783312268,1.1108019216687732
Fermi,WBNB/USDT 0.05%,post,0.45,0.6972609734849545,408.67261904761904,150.2499407817734,72.82738095238095,35.125,0.4597476823377703,10.23129873666262,57.49275355515649,3.826474290506399,1.173525709493601
