window,spec,e_L,e_M,e_F,se_L,se_M,se_F,pooled,se_pooled,p_eq
±30 d,σ,0.8797120888555758,0.28968994568054574,0.3885430888148379,0.03756389633736398,0.03000554544029341,0.051410804296997056,0.4969690332780929,0.02133102013666939,0.0
±30 d,σ+L+vol,0.7248308798221509,0.3404328825373368,0.5250021395591608,0.05060386539267261,0.02642644915872129,0.045143112155506725,0.44448166313627757,0.0207921174360716,1.8970935933282362e-11
±30 d,σ+L+vol+趋势,0.4680931119136428,0.3438983341838232,0.38081013130460933,0.06562398768628729,0.056023981115356385,0.08081168573722798,0.392895600864318,0.03769057000061754,0.3498850585197162
±30 d,RD,0.46887588828891313,0.34480411477246226,0.38369257703835863,0.059150496676447506,0.056265106594669566,0.07634699236987748,0.39929223551377696,0.03596160290855193,0.30674772326388056
±14 d,σ,0.7065164980225923,0.3484876261352114,0.3524883942241571,0.054556408904253485,0.04577873610052025,0.0672336367312582,0.46563585916353206,0.03109300959781619,5.368247142367721e-07
±14 d,σ+L+vol,0.5640120028657636,0.3254739515627629,0.43733861763637505,0.05751938947112458,0.041189926516651626,0.05948600214102235,0.41379471303475934,0.02918215052188773,0.0030659385441480502
±14 d,σ+L+vol+趋势,0.29583286947301923,0.5048942171293592,0.2915196052906931,0.08242387361436865,0.06967556740763944,0.09092951137256547,0.38556012638608894,0.04592534179722989,0.07471899242426128
±14 d,RD,0.2943097883413485,0.5049432643111372,0.27602374164494164,0.07646283716711506,0.06780666692178128,0.0783046075588487,0.37195289104859475,0.04257718259198842,0.04119890051237729
±7 d,σ,0.49826684629816226,0.4511336986326748,0.21277682164644438,0.07012903196262729,0.05130448699245101,0.0656502158834913,0.3950538697376529,0.03502267042304812,0.003946644282484146
±7 d,σ+L+vol,0.39191086342221726,0.4362798121866933,0.3470934509798897,0.07536052959382325,0.05154838806728871,0.07000644782820069,0.40189515976489926,0.0363586910223063,0.5841248562165378
±7 d,σ+L+vol+趋势,0.18023181182258932,0.39371767932358775,0.28719001140017225,0.1007468606866648,0.08605779154877648,0.13019219923294761,0.30033749668370585,0.05846588226906935,0.27132976905294715
