fork,pool,post,dt,sigma,over,over_adj
Lorentz,BTCB-USDT-500,0,3.0,0.7384336135836642,1.306181708743748,1.7688546197196617
Lorentz,BTCB-USDT-500,1,1.5,0.69573659503012,0.8980076720814122,1.290729391692463
Lorentz,ETH-USDT-500,0,3.0,1.224709788174239,2.780728716498953,2.2705205293119937
Lorentz,ETH-USDT-500,1,1.5,1.4285560235144676,1.903803069827595,1.3326765198497057
Lorentz,WBNB-USDT-500,0,3.0,0.5306901406610666,0.6072861446824456,1.1443328190080286
Lorentz,WBNB-USDT-500,1,1.5,0.7125431765128171,0.3768879953845782,0.5289335549167227
Maxwell,BTCB-USDT-500,0,1.5,0.6939509709146339,0.7638601119995375,1.100740749728706
Maxwell,BTCB-USDT-500,1,0.75,0.5311805481231134,0.5662628554693899,1.0660459187939717
Maxwell,ETH-USDT-500,0,1.5,1.3866713458830142,1.294287213048838,0.9333770520978444
Maxwell,ETH-USDT-500,1,0.75,1.0375577993693135,0.8263525288603577,0.7964399953069233
Maxwell,WBNB-USDT-500,0,1.5,0.4930653977660833,0.35674326148225227,0.7235211862331818
Maxwell,WBNB-USDT-500,1,0.75,0.4127532965532778,0.26852267840217364,0.650564588204356
Fermi,BTCB-USDT-500,0,0.75,0.6681053559269031,0.4233317366144811,0.6336302094557635
Fermi,BTCB-USDT-500,1,0.45,0.7371116429798927,0.3445186441680948,0.4673900452519276
Fermi,ETH-USDT-500,0,0.75,0.9175799470863831,0.6341217429432202,0.6910806463859247
Fermi,ETH-USDT-500,1,0.45,1.0330392105115975,0.5994844751369752,0.5803114432027119
Fermi,WBNB-USDT-500,0,0.75,0.6429333144274301,0.4974274790123291,0.7736844052875336
Fermi,WBNB-USDT-500,1,0.45,0.6972609734849545,0.4597476823377703,0.6593624192673831
