window,spec,e_L,e_M,e_F,se_L,se_M,se_F,pooled,se_pooled,p_eq
±30 d,σ,0.8434796859878667,0.14245524264838524,0.1770555082581884,0.036921018603819106,0.029251396640526933,0.05327189013139994,0.37595070892674054,0.021059993961387365,0.0
±30 d,σ+L+vol,0.6815279549786202,0.1898307953326372,0.3181064253458309,0.04918980730791071,0.026113044322935028,0.04309564537194454,0.3024252156195097,0.02033532917696697,0.0
±30 d,σ+L+vol+趋势,0.4199463582294555,0.15819383349158084,0.2191226500577789,0.0593579190249351,0.05982159513144767,0.07597887962291446,0.27339675326435087,0.036848392237798684,0.005757755970404066
±30 d,RD,0.4212669519395773,0.158696454497786,0.2231681315427188,0.05193702147200268,0.059150496676447506,0.07243176199193505,0.2881068058575456,0.03435752534907187,0.0022838300789750354
±14 d,σ,0.6640840890813084,0.1848433779634845,0.18301492539426778,0.051198726960217614,0.045827786502753494,0.06730395493845752,0.3540031596252173,0.03045164964152896,4.729550084903167e-13
±14 d,σ+L+vol,0.5146883105966342,0.15982659626115228,0.257361597174656,0.0524435320971771,0.04050594869668024,0.05503224960600892,0.28353907667158196,0.027700206107936318,5.09142474847124e-07
±14 d,σ+L+vol+趋势,0.2674142498660376,0.29617364224978704,0.03258777127436238,0.06740254930093023,0.083310668034023,0.09132516943700839,0.21781196265992514,0.045450218396857096,0.06266783692436184
±14 d,RD,0.26689858256445825,0.2971951784231265,0.02544899745662583,0.06347858179911439,0.08079092228978195,0.08809268350370479,0.21697396515185075,0.04342762986361523,0.04218588646652577
±7 d,σ,0.45952010678252514,0.2696262595302134,-0.0030278119172080452,0.05958464846801664,0.06532125914345012,0.08850577596327935,0.2986450690669345,0.03941505387912138,7.102410600323683e-05
±7 d,σ+L+vol,0.3567007944856307,0.24379733390377242,0.11205716760128348,0.06175365518008864,0.06625274894725386,0.06922989041980368,0.24683002922337996,0.03783178794063877,0.030847758576876605
±7 d,σ+L+vol+趋势,0.17008319803430624,0.1497845554113084,0.08375860904093564,0.08472831208910275,0.10324744887833877,0.13029229544497598,0.14614839127519938,0.05851936272069022,0.8562727778020087
