fork,pool,post,dt,sigma,over,over_adj
Lorentz,BTCB-USDT-500,0,3.0,0.7384299972947633,1.306421972837286,1.7691886537970558
Lorentz,BTCB-USDT-500,1,1.5,0.6982052925881529,0.9314405356017297,1.334049663457871
Lorentz,ETH-USDT-500,0,3.0,1.2247054253758847,2.7786223090171775,2.2688086877416804
Lorentz,ETH-USDT-500,1,1.5,1.4332313710963127,1.9531420404420559,1.362754179004644
Lorentz,WBNB-USDT-500,0,3.0,0.5307154090645748,0.6072466356221214,1.14420389016486
Lorentz,WBNB-USDT-500,1,1.5,0.7127925170804128,0.36786529267053963,0.5160902841366941
Maxwell,BTCB-USDT-500,0,1.5,0.696115488180038,0.7861887474274682,1.1293941318313756
Maxwell,BTCB-USDT-500,1,0.75,0.535206133125394,0.6456967364474214,1.2064449498678307
Maxwell,ETH-USDT-500,0,1.5,1.3766825633149864,1.315208878092521,0.9553465069867381
Maxwell,ETH-USDT-500,1,0.75,1.0432208092009045,0.9667834552550084,0.9267294581628924
Maxwell,WBNB-USDT-500,0,1.5,0.4944372058204158,0.3593289359600112,0.7267433189292046
Maxwell,WBNB-USDT-500,1,0.75,0.41334235097615785,0.2976082922234245,0.7200043535838673
Fermi,BTCB-USDT-500,0,0.75,0.6772215290364934,0.46646978353451574,0.6887994009850492
Fermi,BTCB-USDT-500,1,0.45,0.7496418124977298,0.3921872013372713,0.5231661238726049
Fermi,ETH-USDT-500,0,0.75,0.9324228680269603,0.7335046772830994,0.7866652593315533
Fermi,ETH-USDT-500,1,0.45,1.0658423721626833,0.7550377948212069,0.7083953636494786
Fermi,WBNB-USDT-500,0,0.75,0.6515266673735889,0.5554306725282371,0.8525064288884282
Fermi,WBNB-USDT-500,1,0.45,0.7054448314405226,0.5244528773370148,0.7434357074614593
