窗口,控制,被解释变量,kline,_b_kline,_se_kline,_n_kline,tick,_b_tick,_se_tick,_n_tick,差（tick−kline）,Δt 弹性 kline,Δt 弹性 tick,_preslope_kline,_preslope_se_kline,_preslope_tick,_preslope_se_tick
±30 d,σ,log 越界幅度（严格）,-0.198*** (0.026),-0.1984777657038043,0.026261956173324857,4304,-0.090*** (0.027),-0.09044449044719437,0.027212646505566682,4310,+0.108,0.39,0.18,,,,
±30 d,σ,log 越界幅度（全部）,-0.116*** (0.031),-0.11604038124492734,0.031012071148262186,4309,-0.058** (0.028),-0.057791762837222246,0.028092573868568307,4314,+0.058,0.23,0.11,,,,
±30 d,σ,log 套利者利润,-0.673*** (0.097),-0.6730137594176079,0.09673020502187071,4107,-0.434*** (0.079),-0.4340766435776872,0.07917588102910647,4270,+0.239,1.32,0.85,,,,
±30 d,σ,log 单笔 LP 损失,-0.458*** (0.056),-0.45762584094363135,0.05580408448384063,4309,-0.418*** (0.055),-0.41767785565890275,0.055121467863304366,4314,+0.040,,,,,,
±30 d,σ,log LP 损失（总）,-0.350*** (0.074),-0.34954228697540507,0.07412750314135223,4318,-0.298*** (0.070),-0.29840351678709526,0.06968189931599288,4318,+0.051,,,,,,
±30 d,σ,log 套利笔数,-0.066** (0.027),-0.06589809064548856,0.027093912967030436,4309,+0.056** (0.025),0.05599450331380289,0.02495047579154544,4314,+0.122,,,,,,
±30 d,σ+L+vol,log 越界幅度（严格）,-0.268*** (0.023),-0.26818454541878806,0.023060258425574805,4304,-0.162*** (0.022),-0.16249691315125592,0.022014359928705606,4310,+0.106,0.53,0.32,,,,
±30 d,σ+L+vol,log 越界幅度（全部）,-0.170*** (0.028),-0.16970944140909727,0.027938244620924795,4309,-0.103*** (0.026),-0.10260294819578131,0.025636279108738395,4314,+0.067,0.33,0.20,,,,
±30 d,σ+L+vol,log 套利者利润,-0.462*** (0.067),-0.4615263191568077,0.06655673837741803,4107,-0.176*** (0.041),-0.1755540789434343,0.04137454594541082,4270,+0.286,0.90,0.34,,,,
±30 d,σ+L+vol,log 单笔 LP 损失,-0.258*** (0.029),-0.25842301487882136,0.029284328436082863,4309,-0.209*** (0.030),-0.20901781073381445,0.029558978370878126,4314,+0.049,,,,,,
±30 d,σ+L+vol,log LP 损失（总）,-0.048*** (0.013),-0.04769060330636956,0.012859760417282063,4318,-0.004 (0.011),-0.0037913739473105583,0.010828965158794763,4318,+0.044,,,,,,
±30 d,σ+L+vol,log 套利笔数,-0.032 (0.025),-0.03203653167083279,0.024876487818387378,4309,+0.100*** (0.023),0.10015797128631405,0.02341841916135318,4314,+0.132,,,,,,
±30 d,σ+L+vol+趋势,log 越界幅度（严格）,-0.195*** (0.041),-0.1945275728600859,0.0412806797743007,4304,-0.112*** (0.039),-0.1119334643970204,0.03881195857641669,4310,+0.083,0.38,0.22,,,,
±30 d,σ+L+vol+趋势,log 越界幅度（全部）,-0.140*** (0.041),-0.1396690231862407,0.04115477360027593,4309,-0.061 (0.039),-0.06071141626831479,0.03934160783402511,4314,+0.079,0.27,0.12,,,,
±30 d,σ+L+vol+趋势,log 套利者利润,-0.475*** (0.114),-0.4751201228458321,0.11411507412754089,4107,-0.133** (0.067),-0.13347739824155974,0.06735198531696063,4270,+0.342,0.93,0.26,,,,
±30 d,σ+L+vol+趋势,log 单笔 LP 损失,-0.112** (0.044),-0.11227927359849371,0.04444407193023657,4309,-0.063 (0.044),-0.06347000164165867,0.04421314168424044,4314,+0.049,,,,,,
±30 d,σ+L+vol+趋势,log LP 损失（总）,+0.009 (0.024),0.008791323237930193,0.024452345615141317,4318,+0.028 (0.020),0.02803781262477335,0.02032121066205831,4318,+0.019,,,,,,
±30 d,σ+L+vol+趋势,log 套利笔数,-0.133*** (0.040),-0.13288836029847767,0.040323140687679636,4309,-0.017 (0.038),-0.017307856485863804,0.037796031908358126,4314,+0.116,,,,,,
±30 d,RD,log 越界幅度（严格）,-0.196*** (0.039),-0.1964065123096144,0.03904144758496494,4304,-0.114*** (0.037),-0.11438597564486373,0.03705565047639398,4310,+0.082,0.38,0.22,-0.004227634728442549,0.0019617539442774836,-0.0038904291807769858,0.0016797184634820266
±30 d,RD,log 越界幅度（全部）,-0.142*** (0.039),-0.1416313214893766,0.039186111968960116,4309,-0.062 (0.038),-0.06227772658525817,0.03833576701550667,4314,+0.079,0.28,0.12,-0.0027444505549845746,0.002405973467219459,-0.0028973256983157517,0.002215337006467375
±30 d,RD,log 套利者利润,-0.476*** (0.114),-0.47599720190261297,0.11420495916204755,4107,-0.137** (0.065),-0.13730323141885098,0.06543204403568297,4270,+0.339,0.93,0.27,1.690572567949083e-05,0.004439183693236016,-0.0047759439698496125,0.003284225290419331
±30 d,RD,log 单笔 LP 损失,-0.113** (0.044),-0.11281373433188192,0.044019430359196386,4309,-0.064 (0.044),-0.06356812516052271,0.04416986837922935,4314,+0.049,,,-0.005822335971581434,0.002321684589509868,-0.005445333604925589,0.0023026969231422505
±30 d,RD,log LP 损失（总）,+0.011 (0.020),0.011468315514709816,0.020461587316056254,4318,+0.030* (0.018),0.029892206878029706,0.01794481125216314,4318,+0.018,,,0.00018820488809300932,0.0008372481780450266,0.0004523260230579425,0.0006088911830463672
±30 d,RD,log 套利笔数,-0.134*** (0.041),-0.13369005490000288,0.041184053397852236,4309,-0.020 (0.039),-0.019867879224729153,0.03871281521166506,4314,+0.114,,,0.0030399884475629294,0.00161723150415359,0.0021124396171296168,0.0015071106056781258
±14 d,σ,log 越界幅度（严格）,-0.180*** (0.034),-0.18006010384982754,0.034344664421301095,2002,-0.093*** (0.034),-0.09348871342301311,0.03438058476335562,2006,+0.087,0.35,0.18,,,,
±14 d,σ,log 越界幅度（全部）,-0.078** (0.031),-0.0779715501608378,0.03136771424555805,2005,-0.021 (0.029),-0.02075173551046161,0.02870876041732897,2009,+0.057,0.15,0.04,,,,
±14 d,σ,log 套利者利润,-0.432*** (0.115),-0.43216128409225546,0.11538028847116387,1874,-0.152 (0.095),-0.15224018116469612,0.0947551907313688,1983,+0.280,0.85,0.30,,,,
±14 d,σ,log 单笔 LP 损失,-0.210*** (0.051),-0.2104878842730274,0.05085079302943596,2005,-0.177*** (0.051),-0.17677235857846682,0.0508590075105981,2009,+0.034,,,,,,
