窗口,控制,被解释变量,kline,tick,差（tick−kline）,Δt 弹性 kline,Δt 弹性 tick
±30 d,σ,log 越界幅度（严格）,-0.610*** (0.026),-0.585*** (0.026),+0.025,0.88,0.84
±30 d,σ,log 越界幅度（全部）,-0.372*** (0.024),-0.312*** (0.023),+0.060,0.54,0.45
±30 d,σ,log 套利者利润,+0.133*** (0.031),+0.236*** (0.031),+0.103,-0.19,-0.34
±30 d,σ,log 单笔 LP 损失,-0.218*** (0.029),-0.208*** (0.029),+0.010,,
±30 d,σ,log LP 损失（总）,+0.332*** (0.029),+0.353*** (0.030),+0.021,,
±30 d,σ,log 套利笔数,+0.505*** (0.037),+0.526*** (0.037),+0.021,,
±30 d,σ+L+vol,log 越界幅度（严格）,-0.502*** (0.035),-0.472*** (0.034),+0.030,0.72,0.68
±30 d,σ+L+vol,log 越界幅度（全部）,-0.339*** (0.028),-0.280*** (0.027),+0.060,0.49,0.40
±30 d,σ+L+vol,log 套利者利润,-0.413*** (0.038),-0.306*** (0.038),+0.107,0.60,0.44
±30 d,σ+L+vol,log 单笔 LP 损失,-0.360*** (0.032),-0.351*** (0.032),+0.009,,
±30 d,σ+L+vol,log LP 损失（总）,-0.030** (0.015),-0.011 (0.015),+0.019,,
±30 d,σ+L+vol,log 套利笔数,+0.142*** (0.030),+0.163*** (0.030),+0.022,,
±30 d,σ+L+vol+趋势,log 越界幅度（严格）,-0.324*** (0.045),-0.291*** (0.041),+0.033,0.47,0.42
±30 d,σ+L+vol+趋势,log 越界幅度（全部）,-0.145*** (0.036),-0.094*** (0.034),+0.051,0.21,0.14
±30 d,σ+L+vol+趋势,log 套利者利润,-0.361*** (0.066),-0.244*** (0.062),+0.118,0.52,0.35
±30 d,σ+L+vol+趋势,log 单笔 LP 损失,-0.201*** (0.051),-0.188*** (0.051),+0.014,,
±30 d,σ+L+vol+趋势,log LP 损失（总）,-0.087*** (0.021),-0.066*** (0.021),+0.021,,
±30 d,σ+L+vol+趋势,log 套利笔数,+0.037 (0.044),+0.054 (0.044),+0.018,,
±30 d,RD,log 越界幅度（严格）,-0.325*** (0.041),-0.292*** (0.036),+0.033,0.47,0.42
