窗口,控制,被解释变量,kline,tick,差（tick−kline）,Δt 弹性 kline,Δt 弹性 tick
±30 d,σ,log 越界幅度（严格）,-0.201*** (0.021),-0.099*** (0.020),+0.102,0.29,0.14
±30 d,σ,log 越界幅度（全部）,-0.201*** (0.022),-0.117*** (0.020),+0.084,0.29,0.17
±30 d,σ,log 套利者利润,-0.606*** (0.072),-0.313*** (0.062),+0.293,0.87,0.45
±30 d,σ,log 单笔 LP 损失,-0.029 (0.027),-0.006 (0.027),+0.023,,
±30 d,σ,log LP 损失（总）,-0.112*** (0.035),-0.073** (0.033),+0.039,,
±30 d,σ,log 套利笔数,-0.168*** (0.035),-0.083** (0.032),+0.085,,
±30 d,σ+L+vol,log 越界幅度（严格）,-0.236*** (0.018),-0.132*** (0.018),+0.104,0.34,0.19
±30 d,σ+L+vol,log 越界幅度（全部）,-0.220*** (0.024),-0.133*** (0.022),+0.087,0.32,0.19
±30 d,σ+L+vol,log 套利者利润,-0.524*** (0.058),-0.217*** (0.049),+0.307,0.76,0.31
±30 d,σ+L+vol,log 单笔 LP 损失,+0.022 (0.023),+0.045** (0.023),+0.024,,
±30 d,σ+L+vol,log LP 损失（总）,-0.013 (0.010),+0.028*** (0.010),+0.041,,
±30 d,σ+L+vol,log 套利笔数,-0.133*** (0.027),-0.043* (0.024),+0.091,,
±30 d,σ+L+vol+趋势,log 越界幅度（严格）,-0.238*** (0.039),-0.110*** (0.041),+0.129,0.34,0.16
±30 d,σ+L+vol+趋势,log 越界幅度（全部）,-0.070 (0.051),-0.009 (0.049),+0.061,0.10,0.01
±30 d,σ+L+vol+趋势,log 套利者利润,-0.080 (0.112),+0.138 (0.100),+0.217,0.11,-0.20
±30 d,σ+L+vol+趋势,log 单笔 LP 损失,-0.108** (0.052),-0.085 (0.053),+0.023,,
±30 d,σ+L+vol+趋势,log LP 损失（总）,-0.017 (0.026),+0.001 (0.022),+0.018,,
±30 d,σ+L+vol+趋势,log 套利笔数,+0.138*** (0.044),+0.176*** (0.045),+0.039,,
±30 d,RD,log 越界幅度（严格）,-0.239*** (0.039),-0.110*** (0.041),+0.129,0.34,0.16
±30 d,RD,log 越界幅度（全部）,-0.065 (0.048),-0.003 (0.043),+0.062,0.09,0.00
±30 d,RD,log 套利者利润,-0.064 (0.104),+0.153* (0.082),+0.217,0.09,-0.22
±30 d,RD,log 单笔 LP 损失,-0.107** (0.051),-0.083 (0.052),+0.024,,
±30 d,RD,log LP 损失（总）,-0.017 (0.025),+0.001 (0.023),+0.018,,
±30 d,RD,log 套利笔数,+0.138*** (0.044),+0.177*** (0.045),+0.039,,
±14 d,σ,log 越界幅度（严格）,-0.242*** (0.032),-0.128*** (0.032),+0.113,0.35,0.18
±14 d,σ,log 越界幅度（全部）,-0.124*** (0.037),-0.058* (0.033),+0.067,0.18,0.08
±14 d,σ,log 套利者利润,-0.156* (0.094),+0.083 (0.071),+0.239,0.22,-0.12
±14 d,σ,log 单笔 LP 损失,+0.019 (0.051),+0.042 (0.050),+0.023,,
±14 d,σ,log LP 损失（总）,+0.037 (0.055),+0.066 (0.053),+0.029,,
±14 d,σ,log 套利笔数,+0.021 (0.037),+0.080** (0.036),+0.059,,
±14 d,σ+L+vol,log 越界幅度（严格）,-0.226*** (0.029),-0.111*** (0.028),+0.115,0.33,0.16
±14 d,σ+L+vol,log 越界幅度（全部）,-0.113*** (0.036),-0.045 (0.033),+0.069,0.16,0.06
±14 d,σ+L+vol,log 套利者利润,-0.206*** (0.076),+0.045 (0.062),+0.251,0.30,-0.07
±14 d,σ+L+vol,log 单笔 LP 损失,-0.018 (0.043),+0.006 (0.043),+0.024,,
±14 d,σ+L+vol,log LP 损失（总）,-0.018 (0.020),+0.012 (0.018),+0.031,,
±14 d,σ+L+vol,log 套利笔数,+0.013 (0.034),+0.075** (0.034),+0.061,,
±14 d,σ+L+vol+趋势,log 越界幅度（严格）,-0.350*** (0.048),-0.205*** (0.058),+0.145,0.50,0.30
±14 d,σ+L+vol+趋势,log 越界幅度（全部）,-0.210*** (0.068),-0.127** (0.063),+0.084,0.30,0.18
±14 d,σ+L+vol+趋势,log 套利者利润,-0.496*** (0.139),-0.212* (0.111),+0.283,0.72,0.31
±14 d,σ+L+vol+趋势,log 单笔 LP 损失,-0.277*** (0.066),-0.245*** (0.069),+0.032,,
±14 d,σ+L+vol+趋势,log LP 损失（总）,-0.038 (0.035),-0.026 (0.031),+0.012,,
±14 d,σ+L+vol+趋势,log 套利笔数,+0.140** (0.063),+0.180*** (0.066),+0.040,,
±14 d,RD,log 越界幅度（严格）,-0.350*** (0.047),-0.206*** (0.056),+0.145,0.51,0.30
±14 d,RD,log 越界幅度（全部）,-0.212*** (0.063),-0.128** (0.058),+0.084,0.31,0.19
±14 d,RD,log 套利者利润,-0.500*** (0.119),-0.218*** (0.082),+0.282,0.72,0.31
±14 d,RD,log 单笔 LP 损失,-0.279*** (0.060),-0.247*** (0.062),+0.032,,
±14 d,RD,log LP 损失（总）,-0.038 (0.034),-0.026 (0.030),+0.012,,
±14 d,RD,log 套利笔数,+0.140** (0.064),+0.180*** (0.067),+0.040,,
±7 d,σ,log 越界幅度（严格）,-0.313*** (0.036),-0.187*** (0.045),+0.126,0.45,0.27
±7 d,σ,log 越界幅度（全部）,-0.174*** (0.048),-0.099** (0.042),+0.075,0.25,0.14
±7 d,σ,log 套利者利润,-0.240* (0.124),+0.021 (0.087),+0.261,0.35,-0.03
±7 d,σ,log 单笔 LP 损失,-0.076 (0.060),-0.047 (0.061),+0.029,,
±7 d,σ,log LP 损失（总）,+0.085** (0.043),+0.108** (0.043),+0.022,,
±7 d,σ,log 套利笔数,+0.090** (0.045),+0.140*** (0.043),+0.050,,
±7 d,σ+L+vol,log 越界幅度（严格）,-0.302*** (0.036),-0.169*** (0.046),+0.133,0.44,0.24
±7 d,σ+L+vol,log 越界幅度（全部）,-0.165*** (0.047),-0.085** (0.042),+0.080,0.24,0.12
±7 d,σ+L+vol,log 套利者利润,-0.371*** (0.100),-0.087 (0.067),+0.284,0.53,0.13
±7 d,σ+L+vol,log 单笔 LP 损失,-0.159*** (0.044),-0.128*** (0.046),+0.032,,
±7 d,σ+L+vol,log LP 损失（总）,-0.032 (0.024),-0.008 (0.022),+0.024,,
±7 d,σ+L+vol,log 套利笔数,+0.062 (0.049),+0.114** (0.050),+0.052,,
±7 d,σ+L+vol+趋势,log 越界幅度（严格）,-0.273*** (0.060),-0.104 (0.072),+0.169,0.39,0.15
±7 d,σ+L+vol+趋势,log 越界幅度（全部）,-0.224** (0.099),-0.138 (0.090),+0.086,0.32,0.20
±7 d,σ+L+vol+趋势,log 套利者利润,-0.557*** (0.157),-0.263** (0.131),+0.294,0.80,0.38
±7 d,σ+L+vol+趋势,log 单笔 LP 损失,-0.279*** (0.069),-0.259*** (0.073),+0.020,,
±7 d,σ+L+vol+趋势,log LP 损失（总）,-0.080*** (0.023),-0.077*** (0.024),+0.003,,
±7 d,σ+L+vol+趋势,log 套利笔数,+0.195** (0.083),+0.230*** (0.086),+0.035,,
