窗口,控制,被解释变量,kline,_b_kline,_se_kline,_n_kline,tick,_b_tick,_se_tick,_n_tick,差（tick−kline）,Δt 弹性 kline,Δt 弹性 tick,_preslope_kline,_preslope_se_kline,_preslope_tick,_preslope_se_tick
±30 d,σ,log 越界幅度（严格）,-0.201*** (0.021),-0.20079776908503405,0.020798259223102758,4307,-0.099*** (0.020),-0.09874244979771014,0.020275523108821508,4306,+0.102,0.29,0.14,,,,
±30 d,σ,log 越界幅度（全部）,-0.201*** (0.022),-0.20115939179607395,0.02210945438495248,4312,-0.117*** (0.020),-0.11730462317635688,0.020221309126639136,4312,+0.084,0.29,0.17,,,,
±30 d,σ,log 套利者利润,-0.606*** (0.072),-0.6064864560018376,0.07243716458516196,4206,-0.313*** (0.062),-0.31339879959143874,0.06212537313187355,4262,+0.293,0.87,0.45,,,,
±30 d,σ,log 单笔 LP 损失,-0.029 (0.027),-0.029463395683816174,0.02689544474583552,4312,-0.006 (0.027),-0.006052338102109145,0.026777703717652725,4312,+0.023,,,,,,
±30 d,σ,log LP 损失（总）,-0.112*** (0.035),-0.11205932113774912,0.034676412686808836,4317,-0.073** (0.033),-0.07304662068597681,0.0333840981268169,4317,+0.039,,,,,,
±30 d,σ,log 套利笔数,-0.168*** (0.035),-0.16774008164554077,0.035351460117819665,4312,-0.083** (0.032),-0.08290446582223199,0.03245034038259222,4312,+0.085,,,,,,
±30 d,σ+L+vol,log 越界幅度（严格）,-0.236*** (0.018),-0.23597009270065009,0.01831741872657848,4307,-0.132*** (0.018),-0.13158068056826897,0.01810018304828444,4306,+0.104,0.34,0.19,,,,
±30 d,σ+L+vol,log 越界幅度（全部）,-0.220*** (0.024),-0.22016996106834547,0.024148089633862255,4312,-0.133*** (0.022),-0.13332280482000927,0.022298238374767035,4312,+0.087,0.32,0.19,,,,
±30 d,σ+L+vol,log 套利者利润,-0.524*** (0.058),-0.5241010292940687,0.05834998235119844,4206,-0.217*** (0.049),-0.21662177063798457,0.049242281672069864,4262,+0.307,0.76,0.31,,,,
±30 d,σ+L+vol,log 单笔 LP 损失,+0.022 (0.023),0.021578924792217243,0.022527114919973803,4312,+0.045** (0.023),0.0453736121676285,0.02270636719700304,4312,+0.024,,,,,,
±30 d,σ+L+vol,log LP 损失（总）,-0.013 (0.010),-0.013213069999266695,0.01019230836699813,4317,+0.028*** (0.010),0.027945611108241848,0.009813953218900884,4317,+0.041,,,,,,
±30 d,σ+L+vol,log 套利笔数,-0.133*** (0.027),-0.13323260754654032,0.027476397343382083,4312,-0.043* (0.024),-0.04252196443574302,0.02447052793594427,4312,+0.091,,,,,,
±30 d,σ+L+vol+趋势,log 越界幅度（严格）,-0.238*** (0.039),-0.2383721607387789,0.03883286455385292,4307,-0.110*** (0.041),-0.10965160966665806,0.041465170001962114,4306,+0.129,0.34,0.16,,,,
±30 d,σ+L+vol+趋势,log 越界幅度（全部）,-0.070 (0.051),-0.06968941221106394,0.05118877461584018,4312,-0.009 (0.049),-0.009044379063873304,0.048776597964268545,4312,+0.061,0.10,0.01,,,,
±30 d,σ+L+vol+趋势,log 套利者利润,-0.080 (0.112),-0.07960856960305901,0.11232212365444502,4206,+0.138 (0.100),0.13771061459551245,0.09998123251399607,4262,+0.217,0.11,-0.20,,,,
±30 d,σ+L+vol+趋势,log 单笔 LP 损失,-0.108** (0.052),-0.10795925856389829,0.0522020116682469,4312,-0.085 (0.053),-0.08486785606915942,0.05325765381158141,4312,+0.023,,,,,,
±30 d,σ+L+vol+趋势,log LP 损失（总）,-0.017 (0.026),-0.016714875892171865,0.025567951458282775,4317,+0.001 (0.022),0.0008707166702640683,0.022436717660854713,4317,+0.018,,,,,,
±30 d,σ+L+vol+趋势,log 套利笔数,+0.138*** (0.044),0.13753784957638704,0.04447930608660862,4312,+0.176*** (0.045),0.17618942567871254,0.045254715447317316,4312,+0.039,,,,,,
±30 d,RD,log 越界幅度（严格）,-0.239*** (0.039),-0.23897304228348543,0.0390595666577632,4307,-0.110*** (0.041),-0.10957291969897442,0.04134333074853674,4306,+0.129,0.34,0.16,-0.0003615781923348414,0.001393082476467769,-0.0006951429193724136,0.001466959178416357
±30 d,RD,log 越界幅度（全部）,-0.065 (0.048),-0.06471515857808313,0.0478018512222136,4312,-0.003 (0.043),-0.0027197929272655998,0.04285565235657313,4312,+0.062,0.09,0.00,-0.0014764089336008358,0.0014936483901433703,0.0004153229385471067,0.001310051847900736
±30 d,RD,log 套利者利润,-0.064 (0.104),-0.0642004118918975,0.1041525251859846,4206,+0.153* (0.082),0.1531345082169057,0.08207051228658775,4262,+0.217,0.09,-0.22,-0.007191178043534543,0.0032432137922384125,-0.0019575771601971696,0.002782498406425459
±30 d,RD,log 单笔 LP 损失,-0.107** (0.051),-0.10671224440223366,0.05131920924433124,4312,-0.083 (0.052),-0.0831951597003794,0.05199278614964953,4312,+0.024,,,0.005380533956977347,0.001901034434934425,0.005718738020813956,0.0019010500590055475
±30 d,RD,log LP 损失（总）,-0.017 (0.025),-0.017253478364138125,0.025388749923291938,4317,+0.001 (0.023),0.0007066245522063211,0.022532339605716212,4317,+0.018,,,-0.00029138496878262644,0.0007279402015135997,0.0008062323166659345,0.000685085526563763
±30 d,RD,log 套利笔数,+0.138*** (0.044),0.13797030911468433,0.04419128658888945,4312,+0.177*** (0.045),0.17665861311533532,0.04492495834892406,4312,+0.039,,,-0.00898792228473921,0.0019077249559953007,-0.007173024493763423,0.0019096402053280252
±14 d,σ,log 越界幅度（严格）,-0.242*** (0.032),-0.24155321551565015,0.03173140185767347,2006,-0.128*** (0.032),-0.12812366628056573,0.03176540100568725,2006,+0.113,0.35,0.18,,,,
±14 d,σ,log 越界幅度（全部）,-0.124*** (0.037),-0.12434580862368581,0.03694976041878312,2009,-0.058* (0.033),-0.05769001598133164,0.03254026851682606,2009,+0.067,0.18,0.08,,,,
±14 d,σ,log 套利者利润,-0.156* (0.094),-0.15575103073873847,0.09379454733874884,1953,+0.083 (0.071),0.08335585906020491,0.07054972517155925,1979,+0.239,0.22,-0.12,,,,
±14 d,σ,log 单笔 LP 损失,+0.019 (0.051),0.019160360077213622,0.05077846050233034,2009,+0.042 (0.050),0.042029426686633134,0.05045890952480941,2009,+0.023,,,,,,
±14 d,σ,log LP 损失（总）,+0.037 (0.055),0.037105985883697054,0.05501456032938046,2012,+0.066 (0.053),0.0656775530763318,0.05344240193798081,2012,+0.029,,,,,,
±14 d,σ,log 套利笔数,+0.021 (0.037),0.02105013358719549,0.03730404791687849,2009,+0.080** (0.036),0.07961042860674382,0.03609471149904444,2009,+0.059,,,,,,
±14 d,σ+L+vol,log 越界幅度（严格）,-0.226*** (0.029),-0.2256013518714333,0.02855068143248844,2006,-0.111*** (0.028),-0.11078335457690926,0.0280765841350129,2006,+0.115,0.33,0.16,,,,
±14 d,σ+L+vol,log 越界幅度（全部）,-0.113*** (0.036),-0.11347365641699837,0.03629882877458945,2009,-0.045 (0.033),-0.04496687446155388,0.032835832645165944,2009,+0.069,0.16,0.06,,,,
±14 d,σ+L+vol,log 套利者利润,-0.206*** (0.076),-0.20615073262915107,0.07640681406489667,1953,+0.045 (0.062),0.0451876243342291,0.061714655532170114,1979,+0.251,0.30,-0.07,,,,
±14 d,σ+L+vol,log 单笔 LP 损失,-0.018 (0.043),-0.018023852454358013,0.043482639274668715,2009,+0.006 (0.043),0.005884325662363541,0.04338775314593063,2009,+0.024,,,,,,
±14 d,σ+L+vol,log LP 损失（总）,-0.018 (0.020),-0.018245404949275217,0.01953710729601883,2012,+0.012 (0.018),0.012386502077448429,0.018147833798549,2012,+0.031,,,,,,
±14 d,σ+L+vol,log 套利笔数,+0.013 (0.034),0.013273669608594591,0.03355723742552388,2009,+0.075** (0.034),0.07458521595190276,0.033581706507508656,2009,+0.061,,,,,,
±14 d,σ+L+vol+趋势,log 越界幅度（严格）,-0.350*** (0.048),-0.3499660030842362,0.048295423102519795,2006,-0.205*** (0.058),-0.20529192508160915,0.05774655465834793,2006,+0.145,0.50,0.30,,,,
±14 d,σ+L+vol+趋势,log 越界幅度（全部）,-0.210*** (0.068),-0.21022727263667526,0.06759659027901793,2009,-0.127** (0.063),-0.12659867862685226,0.06304225389103353,2009,+0.084,0.30,0.18,,,,
±14 d,σ+L+vol+趋势,log 套利者利润,-0.496*** (0.139),-0.4957969565591837,0.13897843895578377,1953,-0.212* (0.111),-0.21244426816747833,0.1106800373776343,1979,+0.283,0.72,0.31,,,,
±14 d,σ+L+vol+趋势,log 单笔 LP 损失,-0.277*** (0.066),-0.2769535368088593,0.06619269809068445,2009,-0.245*** (0.069),-0.24503804613656804,0.06907332836567982,2009,+0.032,,,,,,
±14 d,σ+L+vol+趋势,log LP 损失（总）,-0.038 (0.035),-0.038478340397005054,0.03518969729997052,2012,-0.026 (0.031),-0.026427598006550188,0.03052805539442103,2012,+0.012,,,,,,
±14 d,σ+L+vol+趋势,log 套利笔数,+0.140** (0.063),0.13965493659978487,0.0634254390814884,2009,+0.180*** (0.066),0.17981026388621632,0.06587458451331814,2009,+0.040,,,,,,
±14 d,RD,log 越界幅度（严格）,-0.350*** (0.047),-0.35041814850532704,0.046771237866483316,2006,-0.206*** (0.056),-0.20572745248840638,0.056280743072139316,2006,+0.145,0.51,0.30,0.010536391706179387,0.003683785877637545,0.008372060104960385,0.004286675221191464
±14 d,RD,log 越界幅度（全部）,-0.212*** (0.063),-0.21184774117810548,0.06341852143854562,2009,-0.128** (0.058),-0.12834428788789207,0.05796875406042211,2009,+0.084,0.31,0.19,0.013078893118685903,0.00434726367051936,0.012592362942492986,0.0037334382635667014
±14 d,RD,log 套利者利润,-0.500*** (0.119),-0.4998846875213908,0.11941466325074315,1953,-0.218*** (0.082),-0.21796483256591875,0.08199744492598625,1979,+0.282,0.72,0.31,0.039159397783437994,0.007270615186502976,0.03914359320728773,0.00533908384142936
±14 d,RD,log 单笔 LP 损失,-0.279*** (0.060),-0.27927876351210684,0.059593577971453496,2009,-0.247*** (0.062),-0.24749643994803078,0.061629526690142176,2009,+0.032,,,0.027386675040075883,0.004578881017148642,0.027487057731060124,0.004591090964418881
±14 d,RD,log LP 损失（总）,-0.038 (0.034),-0.03812270794402438,0.034280233713071026,2012,-0.026 (0.030),-0.026343590260401856,0.030333172666609513,2012,+0.012,,,3.092484409843513e-05,0.002766415497472698,0.0024455849745416754,0.002690149424937428
±14 d,RD,log 套利笔数,+0.140** (0.064),0.14005340472681085,0.0644490006742235,2009,+0.180*** (0.067),0.18024935399042508,0.06687963832792465,2009,+0.040,,,-0.01057917321709436,0.006737157502375749,-0.009242767175188491,0.007136461287705561
±7 d,σ,log 越界幅度（严格）,-0.313*** (0.036),-0.31270205126281864,0.03556156050889185,998,-0.187*** (0.045),-0.18689068159828903,0.04527724660590747,998,+0.126,0.45,0.27,,,,
±7 d,σ,log 越界幅度（全部）,-0.174*** (0.048),-0.1741539015353077,0.04780168724908137,1001,-0.099** (0.042),-0.09909476925952196,0.042023352642378574,1001,+0.075,0.25,0.14,,,,
±7 d,σ,log 套利者利润,-0.240* (0.124),-0.24018351784035125,0.12442241183361015,970,+0.021 (0.087),0.020886126769449825,0.08703732670722045,983,+0.261,0.35,-0.03,,,,
±7 d,σ,log 单笔 LP 损失,-0.076 (0.060),-0.07637083086815889,0.060457989713562,1001,-0.047 (0.061),-0.04696941706386973,0.0611371069063528,1001,+0.029,,,,,,
±7 d,σ,log LP 损失（总）,+0.085** (0.043),0.08541175982060212,0.043268565505873026,1005,+0.108** (0.043),0.10769008071237281,0.04298085490265488,1005,+0.022,,,,,,
±7 d,σ,log 套利笔数,+0.090** (0.045),0.09009813803124553,0.04463036424989779,1001,+0.140*** (0.043),0.13979388179154786,0.04261982226074699,1001,+0.050,,,,,,
±7 d,σ+L+vol,log 越界幅度（严格）,-0.302*** (0.036),-0.3024061217524289,0.035730619851251186,998,-0.169*** (0.046),-0.16898743462342938,0.04592290613706907,998,+0.133,0.44,0.24,,,,
±7 d,σ+L+vol,log 越界幅度（全部）,-0.165*** (0.047),-0.16526001079227595,0.04714792097998102,1001,-0.085** (0.042),-0.08524651529236742,0.04220036034857395,1001,+0.080,0.24,0.12,,,,
±7 d,σ+L+vol,log 套利者利润,-0.371*** (0.100),-0.3706157870495321,0.09971823110542634,970,-0.087 (0.067),-0.08701148216730331,0.06711760986743363,983,+0.284,0.53,0.13,,,,
±7 d,σ+L+vol,log 单笔 LP 损失,-0.159*** (0.044),-0.15942218983556075,0.04431044044978169,1001,-0.128*** (0.046),-0.12762988004861975,0.04579849725791904,1001,+0.032,,,,,,
±7 d,σ+L+vol,log LP 损失（总）,-0.032 (0.024),-0.032422029960472734,0.02397420308413997,1005,-0.008 (0.022),-0.008393283743368554,0.021879609569135053,1005,+0.024,,,,,,
±7 d,σ+L+vol,log 套利笔数,+0.062 (0.049),0.06178777274227692,0.04929346773494013,1001,+0.114** (0.050),0.11419685860803641,0.049585099902956856,1001,+0.052,,,,,,
