fork,pool,arbshare_k,arbshare_t,loss_k,loss_t,lossfee_k,lossfee_t,net_t,gap_t,rms_t,sig,medsize_k,medsize_t
Lorentz,WBNB-USDT-500,0.16/0.09,0.16/0.09,4.91/1.77,4.91/1.81,0.98/0.35,0.98/0.36,+0.09/+3.19,0.00/0.08,0.02/0.34,0.66/0.57,994/519,993/519
Lorentz,ETH-USDT-500,0.52/0.58,0.52/0.59,6.00/5.14,6.00/5.27,1.20/1.03,1.20/1.05,-1.00/-0.27,0.00/0.43,0.10/1.33,1.33/1.23,1518/1403,1518/1403
Lorentz,BTCB-USDT-500,0.65/0.63,0.65/0.64,5.57/5.01,5.57/5.13,1.11/1.00,1.11/1.03,-0.57/-0.13,0.00/0.14,0.04/0.52,0.77/0.52,6336/5232,6336/5195
Lorentz,WBNB-USDT-100,0.31/0.25,0.31/0.25,1.07/0.45,1.07/0.47,1.07/0.45,1.07/0.47,-0.07/+0.53,0.00/0.07,0.02/0.33,0.66/0.57,708/1012,707/1005
Maxwell,WBNB-USDT-500,0.08/0.19,0.08/0.21,2.72/3.88,2.78/4.19,0.54/0.78,0.56/0.84,+2.22/+0.81,0.06/0.17,0.27/0.62,0.40/0.61,829/1323,826/1359
Maxwell,ETH-USDT-500,0.58/0.61,0.60/0.69,5.17/4.58,5.35/5.14,1.03/0.92,1.07/1.03,-0.35/-0.14,0.48/0.56,1.48/1.46,1.00/0.94,1294/1800,1275/1753
Maxwell,BTCB-USDT-500,0.59/0.44,0.61/0.52,4.30/3.66,4.45/3.96,0.86/0.73,0.89/0.79,+0.55/+1.04,0.17/0.24,0.57/0.75,0.44/0.41,4382/3776,4290/3686
Maxwell,WBNB-USDT-100,0.20/0.18,0.21/0.20,0.43/0.54,0.45/0.72,0.43/0.54,0.45/0.72,+0.55/+0.28,0.06/0.13,0.24/0.48,0.40/0.61,488/351,487/393
Fermi,WBNB-USDT-500,0.27/0.29,0.37/0.44,3.73/3.90,4.32/5.01,0.75/0.78,0.86/1.00,+0.68/-0.01,0.34/0.89,0.93/2.08,0.51/1.02,706/370,708/378
Fermi,ETH-USDT-500,0.53/0.46,0.71/0.70,4.48/3.59,5.45/5.13,0.90/0.72,1.09/1.03,-0.45/-0.13,0.94/1.81,1.92/3.71,0.82/1.54,1000/405,956/393
Fermi,BTCB-USDT-500,0.44/0.41,0.57/0.61,4.35/3.74,4.99/4.90,0.87/0.75,1.00/0.98,+0.01/+0.10,0.51/1.01,1.17/1.97,0.56/1.02,3903/2649,3650/2630
Fermi,WBNB-USDT-100,0.09/0.13,0.12/0.17,0.48/0.18,0.95/0.86,0.48/0.18,0.95/0.86,+0.05/+0.14,0.17/0.44,0.53/1.24,0.51/1.02,384/296,908/611
